Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jaroslav Bouček,Czechoslovakia,,MF, (1912-11-13),1,,Sparta Prague,Czechoslovakia,1934-05-27
Jaroslav Burgr,Czechoslovakia,,DF, (1906-03-07),31,,Sparta Prague,Czechoslovakia,1934-05-27
Štefan Čambal,Czechoslovakia,,MF, (1908-12-17),14,,Slavia Prague,Czechoslovakia,1934-05-27
Josef Čtyřoký,Czechoslovakia,,DF, (1906-09-30),18,,Sparta Prague,Czechoslovakia,1934-05-27
Ferdinand Daučík,Czechoslovakia,,DF, (1910-05-31),1,,ČsŠK Bratislava,Czechoslovakia,1934-05-27
František Junek,Czechoslovakia,,FW, (1907-01-17),26,,Slavia Prague,Czechoslovakia,1934-05-27
Géza Kalocsay,Czechoslovakia,,FW, (1913-05-30),1,,Sparta Prague,Czechoslovakia,1934-05-27
Vlastimil Kopecký,Czechoslovakia,,MF, (1912-10-14),4,,Slavia Prague,Czechoslovakia,1934-05-27
Josef Košťálek,Czechoslovakia,,MF, (1909-08-31),11,,Sparta Prague,Czechoslovakia,1934-05-27
Rudolf Krčil,Czechoslovakia,,MF, (1906-03-05),12,,Slavia Prague,Czechoslovakia,1934-05-27
Oldřich Nejedlý,Czechoslovakia,,FW, (1909-12-25),14,,Sparta Prague,Czechoslovakia,1934-05-27
Čestmír Patzel,Czechoslovakia,,GK, (1914-12-02),0,,Teplitzer FK,Czechoslovakia,1934-05-27
František Plánička (c),Czechoslovakia,,GK, (1904-06-02),48,,Slavia Prague,Czechoslovakia,1934-05-27
Antonín Puč,Czechoslovakia,,FW, (1907-05-16),42,,Slavia Prague,Czechoslovakia,1934-05-27
Josef Silný,Czechoslovakia,,FW, (1902-01-23),49,,Nîmes,France,1934-05-27
Adolf Šimperský,Czechoslovakia,,MF, (1909-08-05),11,,Slavia Prague,Czechoslovakia,1934-05-27
Jiří Sobotka,Czechoslovakia,,FW, (1911-06-06),3,,Slavia Prague,Czechoslovakia,1934-05-27
Erich Srbek,Czechoslovakia,,FW, (1908-06-04),6,,Sparta Prague,Czechoslovakia,1934-05-27
František Šterc,Czechoslovakia,,FW, (1912-01-27),0,,Židenice,Czechoslovakia,1934-05-27
František Svoboda,Czechoslovakia,,FW, (1905-07-05),39,,Slavia Prague,Czechoslovakia,1934-05-27
Antonín Vodička,Czechoslovakia,,MF, (1907-03-01),14,,Slavia Prague,Czechoslovakia,1934-05-27
Ladislav Ženíšek,Czechoslovakia,,DF, (1904-03-07),15,,Slavia Prague,Czechoslovakia,1934-05-27
