Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ernst Albrecht,Germany,,MF, (1907-11-12),17,,Fortuna Düsseldorf,Germany
Jakob Bender,Germany,,MF, (1910-03-23),3,,Fortuna Düsseldorf,Germany
Fritz Buchloh,Germany,,GK, (1909-11-26),5,,VfB Speldorf,Germany
Willy Busch,Germany,,DF, (1907-01-04),2,,TuS Duisburg,Germany
Edmund Conen,Germany,,FW, (1914-11-10),1,,FV Saarbrücken,Germany
Franz Dienert,Germany,,FW, (1900-01-01),0,,VfB Mühlburg,Germany
Rudolf Gramlich,Germany,,MF, (1908-06-06),7,,Eintracht Frankfurt,Germany
Sigmund Haringer,Germany,,DF, (1908-12-09),8,,Bayern Munich,Germany
Matthias Heidemann,Germany,,FW, (1912-02-07),1,,Werder Bremen,Germany
Karl Hohmann,Germany,,MF, (1908-06-18),8,,VfL Benrath,Germany
Hans Jakob,Germany,,GK, (1908-06-16),8,,Jahn Regensburg,Germany
Paul Janes,Germany,,DF, (1912-03-10),5,,Fortuna Düsseldorf,Germany
Stanislaus Kobierski,Germany,,FW, (1910-11-15),12,,Fortuna Düsseldorf,Germany
Willibald Kreß,Germany,,GK, (1906-11-13),13,,Dresdner SC,Germany
Ernst Lehner,Germany,,FW, (1912-11-07),3,,TSV Schwaben Augsburg,Germany
Reinhold Münzenberg,Germany,,DF, (1909-01-25),4,,Alemannia Aachen,Germany
Rudolf Noack,Germany,,FW, (1913-03-20),1,,SV Hamburg,Germany
Hans Schwartz,Germany,,DF, (1913-03-01),0,,Viktoria Hamburg,Germany
Otto Siffling,Germany,,FW, (1912-08-03),0,,Waldhof Mannheim,Germany
Josef Streb,Germany,,FW, (1912-04-16),0,,Wacker München,Germany
Fritz Szepan (c),Germany,,FW, (1907-09-02),4,,Schalke 04,Germany
Paul Zielinski,Germany,,MF, (1911-11-20),0,,Union Hamborn,Germany
