Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ernst Andersson,Sweden,,MF, (1909-03-26),11,,IFK Göteborg,Sweden
Otto Andersson,Sweden,,DF, (1910-05-07),9,,Örgryte IS,Sweden
Sven Andersson,Sweden,,DF, (1907-02-14),15,,AIK,Sweden
Nils Axelsson,Sweden,,DF, (1906-01-18),7,,Hälsingborgs IF,Sweden
Lennart Bunke,Sweden,,FW, (1912-04-03),5,,Hälsingborgs IF,Sweden
Rune Carlsson,Sweden,,MF, (1909-10-01),5,,IFK Eskilstuna,Sweden
Victor Carlund,Sweden,,MF, (1906-02-05),6,,Örgryte IS,Sweden
Gösta Dunker,Sweden,,FW, (1905-09-16),13,,Sandvikens IF,Sweden
Ragnar Gustavsson,Sweden,,FW, (1907-09-28),6,,GAIS,Sweden
Carl-Erik Holmberg,Sweden,,FW, (1906-07-17),8,,Örgryte IS,Sweden
Sture Hult,Sweden,,GK, (1910-10-19),5,,IFK Eskilstuna,Sweden
Gunnar Jansson,Sweden,,FW, (1907-07-17),1,,Gefle IF,Sweden
Sven Jonasson,Sweden,,FW, (1909-07-09),2,,IF Elfsborg,Sweden
Tore Keller,Sweden,,FW, (1905-01-04),18,,IK Sleipner,Sweden
Knut Kroon,Sweden,,FW, (1906-06-19),31,,Hälsingborgs IF,Sweden
Harry Lundahl,Sweden,,FW, (1905-10-16),14,,IFK Eskilstuna,Sweden
Gunnar Olsson,Sweden,,FW, (1908-07-19),6,,GAIS,Sweden
Anders Rydberg,Sweden,,GK, (1903-03-03),18,,IFK Göteborg,Sweden
Nils Rosén (c),Sweden,,MF, (1902-05-22),20,,Hälsingborgs IF,Sweden
Arvid Thörn,Sweden,,FW, (1906-10-29),2,,IFK Grängesberg,Sweden
Eivar Widlund,Sweden,,GK, (1905-06-15),5,,AIK,Sweden
