Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Juan Alonzo,Cuba,,FW, (1911-06-24),0,,Centro Gallego,Cuba,1938-06-04
Joaquín Arias,Cuba,,MF, (1914-11-12),0,,Juventud Asturiana,Cuba,1938-06-04
Juan Ayra,Cuba,,GK, (1911-06-23),5,,Hispano America,Cuba,1938-06-04
Jacinto Barquín,Cuba,,DF, (1915-09-03),5,,Juventud Asturiana,Cuba,1938-06-04
Pedro Bergés,Cuba,,MF,"1906
",0,,Iberia Havana,Cuba,1938-06-04
Benito Carvajales,Cuba,,GK, (1913-07-25),0,,Centro Gallego,Cuba,1938-06-04
Manuel Chorens,Cuba,,DF, (1916-01-22),0,,Centro Gallego,Cuba,1938-06-04
Tomás Fernández,Cuba,,FW,"1915
",0,,Centro Gallego,Cuba,1938-06-04
Pedro Ferrer,Cuba,,FW,"1908
",1,,Iberia Havana,Cuba,1938-06-04
José Magriñá,Cuba,,FW, (1917-12-14),3,,Centro Gallego,Cuba,1938-06-04
Carlos Oliveira,Cuba,,FW,"
",0,,Hispano America,Cuba,1938-06-04
José Antonio Rodríguez,Cuba,,MF,"
",0,,Centro Gallego,Cuba,1938-06-04
Héctor Socorro,Cuba,,FW, (1912-06-26),6,,Iberia Habana,Cuba,1938-06-04
Mario Sosa,Cuba,,FW,"1910
",5,,Iberia Havana,Cuba,1938-06-04
Juan Tuñas,Cuba,,FW, (1917-07-17),0,,Centro Gallego,Cuba,1938-06-04
