Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Sutan Anwar,Dutch East Indies,,MF, (1914-03-21),0,,VIOS Batavia,Dutch East Indies,1938-06-04
Leen van Beuzekom,Dutch East Indies,,GK,"
",0,,Hercules Batavia,Dutch East Indies,1938-06-04
Gerrit Faulhaber,Dutch East Indies,,MF, (1912-09-22),0,,Go Ahead Semarang,Dutch East Indies,1938-06-04
Jan Harting,Dutch East Indies,,DF,"
",0,,HBS Soerabaja,Dutch East Indies,1938-06-04
Frans G. Hukom,Dutch East Indies,,DF, (1915-09-28),0,,Sparta Bandung,Dutch East Indies,1938-06-04
Frans Alfred Meeng,Dutch East Indies,,MF, (1910-01-18),2,,SVBB Batavia,Dutch East Indies,1938-06-04
Achmad Nawir,Dutch East Indies,,MF, (1911-01-01),0,,HBS Soerabaja,Dutch East Indies,1938-06-04
"Isaak ""Tjaak"" Pattiwael",Dutch East Indies,,FW, (1914-02-23),0,,Jong Ambon Batavia,Dutch East Indies,1938-06-04
Jack Samuels,Dutch East Indies,,DF, (1918-03-29),0,,Excelsior Soerabaja,Dutch East Indies,1938-06-04
Suvarte Soedarmadji,Dutch East Indies,,FW, (1915-12-06),0,,HBS Soerabaja,Dutch East Indies,1938-06-04
M.J. Hans Taihuttu,Dutch East Indies,,FW,"1909
",0,,Jong Ambon Batavia,Dutch East Indies,1938-06-04
Tan Hong Djien,Dutch East Indies,,FW, (1916-01-12),3,,Tiong Hoa Soerabaja,Dutch East Indies,1938-06-04
"Tan ""Bing"" Mo Heng",Dutch East Indies,,GK, (1913-02-28),0,,HCTNH Soerabaja,Dutch East Indies,1938-06-04
Tan See Han,Dutch East Indies,,FW,"1910
",0,,Gie Hoo Soerabaja,Dutch East Indies,1938-06-04
Rudi Telwe,Dutch East Indies,,FW,"
",0,,HBS Soerabaja,Dutch East Indies,1938-06-04
G. Van Den Burgh,Dutch East Indies,,MF,"
",0,,SVV Semarang,Dutch East Indies,1938-06-04
"Hendrikus V. ""Henk"" Zomers",Dutch East Indies,,FW,"
",0,,Hercules Batavia,Dutch East Indies,1938-06-04
