Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Alfred Aston,France,,FW, (1912-05-16),15,,Red Star Olympique,France,1938-06-04
Jean Bastien,France,,MF, (1915-06-21),0,,Olympique de Marseille,France,1938-06-04
Abdelkader Ben Bouali,France,,DF, (1912-10-25),1,,Olympique de Marseille,France,1938-06-04
François Bourbotte,France,,MF, (1913-02-24),9,,SC Fives,France,1938-06-04
Michel Brusseaux,France,,FW, (1913-03-19),1,,FC Sète,France,1938-06-04
Hector Cazenave,France,,DF, (1914-04-13),6,,FC Sochaux-Montbéliard,France,1938-06-04
Roger Courtois,France,,FW, (1912-05-30),19,,FC Sochaux-Montbéliard,France,1938-06-04
Julien Darui,France,,GK, (1916-02-16),0,,Olympique Lillois,France,1938-06-04
Edmond Delfour,France,,FW, (1907-11-01),39,,RC Roubaix,France,1938-06-04
Laurent Di Lorto,France,,GK, (1909-01-01),9,,FC Sochaux-Montbéliard,France,1938-06-04
Raoul Diagne,France,,MF, (1910-11-10),11,,RC Paris,France,1938-06-04
Oscar Heisserer,France,,FW, (1914-07-18),6,,RC Strasbourg,France,1938-06-04
Lucien Jasseron,France,,MF, (1913-12-29),0,,Le Havre AC,France,1938-06-04
Auguste Jordan,France,,MF, (1909-02-21),3,,RC Paris,France,1938-06-04
Ignace Kowalczyk,France,,FW, (1913-12-27),5,,FC Metz,France,1938-06-04
René Llense,France,,GK, (1913-07-14),9,,FC Sète,France,1938-06-04
Étienne Mattler,France,,DF, (1905-12-25),38,,FC Sochaux-Montbéliard,France,1938-06-04
Jean Nicolas,France,,FW, (1913-06-09),22,,FC Rouen,France,1938-06-04
Martin Povolny,France,,DF, (1914-07-19),0,,Le Havre AC,France,1938-06-04
Jules Vandooren,France,,DF, (1908-12-30),14,,Olympique Lillois,France,1938-06-04
Émile Veinante,France,,FW, (1907-06-12),18,,RC Paris,France,1938-06-04
Mario Zatelli,France,,FW, (1912-12-21),0,,Olympique de Marseille,France,1938-06-04
