Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Stanisław Baran,Poland,,FW, (1920-04-26),0,,Warszawianka Warszawa,Poland
Walter Brom,Poland,,GK, (1921-02-14),0,,Ruch Chorzów,Poland
Ewald Cebula[G],Poland,,FW, (1917-03-22),0,,Śląsk Świętochłowice,Poland
Ewald Dytko,Poland,,MF, (1914-10-18),16,,Dąb Katowice,Poland
Antoni Gałecki,Poland,,DF, (1906-06-04),16,,ŁKS Łódź,Poland
Edmund Giemsa,Poland,,DF, (1912-10-16),6,,Ruch Chorzów,Poland
Wilhelm Góra,Poland,,MF, (1916-01-18),8,,Cracovia,Poland
Bolesław Habowski[G],Poland,,FW, (1914-09-13),1,,Wisła Kraków,Poland
Józef Korbas[G],Poland,,FW, (1914-11-11),1,,Cracovia,Poland
Kazimierz Lis[G],Poland,,MF, (1910-04-09),0,,Warta Poznań,Poland
Antoni Łyko[G],Poland,,FW, (1907-05-27),1,,Wisła Kraków,Poland
Edward Madejski,Poland,,GK, (1914-08-11),6,,Wisła Kraków,Poland
Erwin Nyc,Poland,,MF, (1914-05-24),4,,Polonia Warszawa,Poland
Leonard Piątek,Poland,,FW, (1913-10-03),9,,AKS Chorzów,Poland
Ryszard Piec,Poland,,FW, (1913-08-17),18,,Naprzód Lipiny,Poland
Wilhelm Piec,Poland,,MF, (1915-01-07),3,,Naprzód Lipiny,Poland
Fryderyk Scherfke,Poland,,FW, (1909-09-07),12,,Warta Poznań,Poland
Władysław Szczepaniak,Poland,,DF, (1910-05-19),22,,Polonia Warszawa,Poland
Edmund Twórz[G],Poland,,DF, (1914-02-12),2,,Warta Poznań,Poland
Jan Wasiewicz[G],Poland,,MF, (1911-01-06),14,,Pogoń Lwów,Poland
Ernst Wilimowski,Poland,,FW, (1916-06-23),14,,Ruch Chorzów,Poland
Gerard Wodarz,Poland,,FW, (1913-08-10),24,,Ruch Chorzów,Poland
