Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Iuliu Baratky,Romania,,FW, (1910-05-14),10,,Rapid București,Romania
Andrei Bărbulescu,Romania,,MF, (1917-03-25),2,,Venus București,Romania
Silviu Bindea,Romania,,FW, (1912-10-24),18,,Ripensia Timişoara,Romania
Iuliu Bodola,Romania,,FW, (1912-02-26),39,,Venus București,Romania
Ion Bogdan,Romania,,FW, (1915-03-06),1,,Rapid București,Romania
Gheorghe Brandabura,Romania,,MF, (1913-02-23),4,,Juventus București,Romania
Rudolf Bürger,Romania,,DF, (1908-10-31),27,,Ripensia Timişoara,Romania
Vasile Chiroiu,Romania,,DF, (1910-08-13),5,,Ripensia Timişoara,Romania
Vintilă Cossini,Romania,,MF, (1913-11-21),12,,Rapid București,Romania
Mircea David,Romania,,GK, (1914-10-16),4,,Venus București,Romania
Ștefan Dobay,Romania,,FW, (1909-09-26),33,,Ripensia Timişoara,Romania
Coloman Braun-Bogdan,Romania,,FW, (1905-10-13),-,,Juventus București,Romania
Iacob Felecan,Romania,,DF, (1914-03-01),4,,Victoria Cluj,Romania
Nicolae Kovács,Romania,,FW, (1911-10-29),35,,CAO Oradea,Romania
Ioachim Moldoveanu,Romania,,FW, (1913-08-17),3,,Rapid București,Romania
Miklós Nagy,Romania,,FW, (1918-01-12),0,,Crişana Oradea,Romania
Dumitru Pavlovici,Romania,,GK, (1912-04-26),8,,Ripensia Timişoara,Romania
Gyula Prassler,Romania,,FW, (1916-01-16),1,,AMEF Arad,Romania
Gheorghe Rășinaru,Romania,,MF, (1915-02-10),1,,Rapid București,Romania
László Raffinsky,Romania,,MF, (1905-04-23),18,,Rapid București,Romania
Robert Sadowski,Romania,,GK, (1914-08-16),1,,AMEF Arad,Romania
Lazăr Sfera,Romania,,DF, (1909-04-29),5,,Venus București,Romania
