Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Manuel Álvarez Jiménez,Chile,-,DF, (1928-05-23),3,,Universidad Católica,Chile
Miguel Busquets,Chile,-,MF, (1920-10-15),15,,Universidad de Chile,Chile
Fernando Campos,Chile,-,MF, (1923-10-15),5,,Colo-Colo,Chile
Hernán Carvallo,Chile,-,MF, (1922-08-19),5,,Universidad Católica,Chile
Atilio Cremaschi,Chile,-,FW, (1923-03-08),12,,Unión Española,Chile
Guillermo Díaz,Chile,-,FW, (1930-12-29),4,,Santiago Wanderers,Chile
Arturo Farías,Chile,-,DF, (1927-09-01),4,,Colo-Colo,Chile
Miguel Flores,Chile,-,DF, (1920-10-11),3,,Universidad de Chile,Chile
Carlos Ibáñez,Chile,-,FW, (1930-11-28),0,,Magallanes,Chile
Raimundo Infante,Chile,-,FW, (1928-02-02),13,,Universidad Católica,Chile
Sergio Livingstone,Chile,-,GK, (1920-03-26),30,,Universidad Católica,Chile
Manuel Machuca,Chile,-,DF, (1924-06-06),18,,Colo-Colo,Chile
Luis Mayanés,Chile,-,FW, (1925-01-15),0,,Universidad Católica,Chile
Manuel Muñoz,Chile,-,FW, (1928-04-28),1,,Colo-Colo,Chile
Andrés Prieto,Chile,-,FW, (1928-12-19),9,,Universidad Católica,Chile
René Quitral,Chile,-,GK, (1924-09-15),1,,Santiago Wanderers,Chile
Fernando Riera,Chile,-,FW, (1920-06-27),16,,Universidad Católica,Chile
George Robledo,Chile,-,FW, (1926-04-14),0,,Newcastle United,England
Carlos Rojas,Chile,-,MF, (1928-10-02),5,,Unión Española,Chile
Fernando Roldán,Chile,-,DF, (1930-07-24),0,,Universidad Católica,Chile
Osvaldo Saez,Chile,-,MF, (1923-08-13),12,,Colo-Colo,Chile
Francisco Urroz,Chile,-,DF, (1920-12-14),11,,Colo-Colo,Chile
