Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Amedeo Amadei,Italy,-,FW, (1921-07-26),6,,Internazionale,Italy
Carlo Annovazzi,Italy,-,DF, (1925-05-24),10,,Milan,Italy
Ivano Blason,Italy,-,DF, (1923-05-24),0,,Triestina,Italy
Giampiero Boniperti,Italy,-,FW, (1928-07-04),6,,Juventus,Italy
Aldo Campatelli,Italy,-,FW, (1919-04-07),6,,Internazionale,Italy
Gino Cappello,Italy,-,FW, (1920-06-02),3,,Bologna,Italy
Emilio Caprile,Italy,-,FW, (1928-09-30),2,,Atalanta,Italy
Riccardo Carapellese,Italy,-,FW, (1922-07-01),11,,Torino,Italy
Giuseppe Casari,Italy,-,GK, (1922-04-10),2,,Atalanta,Italy
Osvaldo Fattori,Italy,-,DF, (1922-06-22),3,,Internazionale,Italy
Zeffiro Furiassi,Italy,-,DF, (1923-01-19),0,,Lazio,Italy
Attilio Giovannini,Italy,-,DF, (1924-07-30),4,,Internazionale,Italy
Benito Lorenzi,Italy,-,FW, (1925-12-20),5,,Internazionale,Italy
Augusto Magli,Italy,-,MF, (1923-03-09),0,,Fiorentina,Italy
Giacomo Mari,Italy,-,MF, (1924-10-17),3,,Juventus,Italy
Giuseppe Moro,Italy,-,GK, (1921-01-16),2,,Torino,Italy
Ermes Muccinelli,Italy,-,FW, (1927-07-28),2,,Juventus,Italy
Egisto Pandolfini,Italy,-,FW, (1926-02-19),0,,Fiorentina,Italy
Carlo Parola,Italy,-,MF, (1921-09-20),9,,Juventus,Italy
Leandro Remondini,Italy,-,MF, (1917-11-17),0,,Lazio,Italy
Lucidio Sentimenti,Italy,-,GK, (1920-07-01),7,,Lazio,Italy
Omero Tognon,Italy,-,MF, (1924-03-03),4,,Milan,Italy
