Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Enrique Avalos,Paraguay,-,FW,"1922
",,,Cerro Porteño,Paraguay,1950-06-24
Marcial Avalos,Paraguay,-,FW, (1921-12-05),,,Cerro Porteño,Paraguay,1950-06-24
Melanio Baez,Paraguay,-,MF,"
",,,Nacional,Paraguay,1950-06-24
Ángel Berni,Paraguay,-,FW, (1931-01-09),,,Sportivo Luqueño,Paraguay,1950-06-24
Antonio Cabrera,Paraguay,-,DF,"
",,,Libertad,Paraguay,1950-06-24
Lorenzo Calonga,Paraguay,-,FW, (1929-08-28),,,Guaraní,Paraguay,1950-06-24
Juan Cañete,Paraguay,-,FW, (1929-07-27),,,Presidente Hayes,Paraguay,1950-06-24
Castor Cantero,Paraguay,-,MF, (1918-01-12),,,Olimpia,Paraguay,1950-06-24
Pablo Centurión,Paraguay,-,GK,"
",,,Cerro Porteño,Paraguay,1950-06-24
Casiano Céspedes,Paraguay,-,DF,"1924
",,,Olimpia,Paraguay,1950-06-24
Manuel Gavilán,Paraguay,-,DF, (1920-11-30),,,Libertad,Paraguay,1950-06-24
Alberto González,Paraguay,-,DF,"1922
",,,Olimpia,Paraguay,1950-06-24
Armando González,Paraguay,-,MF,"
",,,Guaraní,Paraguay,1950-06-24
Victoriano Leguizamón,Paraguay,-,MF, (1922-03-23),,,Olimpia,Paraguay,1950-06-24
Atilio López,Paraguay,-,FW, (1925-02-05),,,Guarani,Paraguay,1950-06-24
César López Fretes,Paraguay,-,FW, (1923-03-21),,,Olimpia,Paraguay,1950-06-24
Hilarión Osorio,Paraguay,-,FW, (1928-10-21),,,Sportivo Luqueño,Paraguay,1950-06-24
Elioro Paredes,Paraguay,-,DF, (1921-06-19),,,Sportivo Luqueño,Paraguay,1950-06-24
Darío Jara Saguier,Paraguay,-,FW, (1930-01-27),,,Cerro Porteño,Paraguay,1950-06-24
Francisco Sosa,Paraguay,-,FW,"1918
",,,Cerro Porteño,Paraguay,1950-06-24
Leongino Unzaim,Paraguay,-,FW, (1925-05-16),,,Olimpia,Paraguay,1950-06-24
Marcelino Vargas,Paraguay,-,GK,"1921
",,,Club Libertad,Paraguay,1950-06-24
