Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Aleksandar Atanacković,Yugoslavia,-,MF, (1920-04-29),15,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Vladimir Beara,Yugoslavia,-,GK, (1928-11-02),0,,Hajduk Split,Socialist Federal Republic of Yugoslavia,1950-06-24
Stjepan Bobek,Yugoslavia,-,FW, (1923-12-03),26,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Božo Broketa,Yugoslavia,-,DF, (1921-12-24),3,,Hajduk Split,Socialist Federal Republic of Yugoslavia,1950-06-24
Željko Čajkovski,Yugoslavia,-,FW, (1925-05-05),16,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia,1950-06-24
Zlatko Čajkovski,Yugoslavia,-,MF, (1923-11-24),25,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Ratko Čolić,Yugoslavia,-,DF, (1918-03-17),6,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Predrag Đajić,Yugoslavia,-,MF, (1922-05-01),5,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Vladimir Firm,Yugoslavia,-,FW, (1923-06-05),3,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Ivica Horvat,Yugoslavia,-,DF, (1926-07-16),13,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia,1950-06-24
Miodrag Jovanović,Yugoslavia,-,DF, (1922-01-17),18,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Ervin Katnić,Yugoslavia,-,MF, (1921-09-02),0,,Hajduk Split,Socialist Federal Republic of Yugoslavia,1950-06-24
Prvoslav Mihajlović,Yugoslavia,-,FW, (1921-04-13),12,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Rajko Mitić (c),Yugoslavia,-,FW, (1922-09-06),19,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Srđan Mrkušić,Yugoslavia,-,GK, (1915-06-26),4,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Tihomir Ognjanov,Yugoslavia,-,FW, (1927-03-02),2,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Bela Palfi,Yugoslavia,-,MF, (1923-02-16),1,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Ivo Radovniković,Yugoslavia,-,MF, (1918-02-09),0,,Hajduk Split,Socialist Federal Republic of Yugoslavia,1950-06-24
Branko Stanković,Yugoslavia,-,DF, (1921-10-31),19,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Kosta Tomašević,Yugoslavia,-,FW, (1923-07-25),6,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia,1950-06-24
Bernard Vukas,Yugoslavia,-,FW, (1927-05-01),6,,Hajduk Split,Socialist Federal Republic of Yugoslavia,1950-06-24
Siniša Zlatković,Yugoslavia,-,DF, (1924-01-28),0,,Naša Krila Zemun,Socialist Federal Republic of Yugoslavia,1950-06-24
