Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Kurt Schmied,Austria,1,GK, (1926-06-14),2,,First Vienna FC,Austria,1954-06-16
Gerhard Hanappi,Austria,2,DF, (1929-02-16),37,,Rapid Wien,Austria,1954-06-16
Ernst Happel,Austria,3,DF, (1925-11-29),39,,Rapid Wien,Austria,1954-06-16
Leopold Barschandt,Austria,4,DF, (1925-08-12),2,,Wiener Sportclub,Austria,1954-06-16
Ernst Ocwirk,Austria,5,MF, (1926-03-07),45,,Austria Wien,Austria,1954-06-16
Karl Koller,Austria,6,MF, (1929-02-09),8,,First Vienna FC,Austria,1954-06-16
Robert Körner,Austria,7,FW, (1924-08-21),7,,Rapid Wien,Austria,1954-06-16
Walter Schleger,Austria,8,FW, (1929-09-19),9,,Austria Wien,Austria,1954-06-16
Theodor Wagner,Austria,9,FW, (1927-08-06),28,,Wacker Wien,Austria,1954-06-16
Erich Probst,Austria,10,MF, (1927-12-05),9,,Rapid Wien,Austria,1954-06-16
Alfred Körner,Austria,11,FW, (1926-02-14),24,,Rapid Wien,Austria,1954-06-16
Karl Stotz,Austria,12,MF, (1927-03-27),11,,Austria Wien,Austria,1954-06-16
Walter Kollmann,Austria,13,MF, (1932-06-17),3,,Wacker Wien,Austria,1954-06-16
Karl Giesser,Austria,14,MF, (1928-10-29),1,,Rapid Wien,Austria,1954-06-16
Franz Pelikan,Austria,15,GK, (1925-11-06),6,,Wacker Wien,Austria,1954-06-16
Walter Zeman,Austria,16,GK, (1927-05-01),39,,Rapid Wien,Austria,1954-06-16
Alfred Teinitzer,Austria,17,MF, (1929-07-29),0,,Linzer ASK,Austria,1954-06-16
Johann Riegler,Austria,18,MF, (1929-07-17),3,,Rapid Wien,Austria,1954-06-16
Robert Dienst,Austria,19,FW, (1928-03-01),16,,Rapid Wien,Austria,1954-06-16
Paul Halla,Austria,20,DF, (1931-04-10),4,,Rapid Wien,Austria,1954-06-16
Ernst Stojaspal,Austria,21,FW, (1925-01-14),28,,Austria Wien,Austria,1954-06-16
Walter Haummer,Austria,22,FW, (1928-11-22),4,,Wacker Wien,Austria,1954-06-16
