Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Giorgio Ghezzi,Italy,1,GK, (1930-07-10),1,,Internazionale,Italy,1954-06-16
Guido Vincenzi,Italy,2,DF, (1932-07-14),1,,Internazionale,Italy,1954-06-16
Giovanni Giacomazzi,Italy,3,DF, (1928-01-18),1,,Internazionale,Italy,1954-06-16
Maino Neri,Italy,4,MF, (1924-06-30),6,,Internazionale,Italy,1954-06-16
Omero Tognon,Italy,5,MF, (1924-03-03),11,,Milan,Italy,1954-06-16
Fulvio Nesti,Italy,6,MF, (1925-06-08),2,,Internazionale,Italy,1954-06-16
Ermes Muccinelli,Italy,7,FW, (1927-07-28),9,,Juventus,Italy,1954-06-16
Egisto Pandolfini,Italy,8,FW, (1926-02-19),14,,Roma,Italy,1954-06-16
Carlo Galli,Italy,9,FW, (1931-03-06),2,,Roma,Italy,1954-06-16
Gino Cappello,Italy,10,FW, (1920-06-02),10,,Bologna,Italy,1954-06-16
Benito Lorenzi,Italy,11,FW, (1925-12-20),11,,Internazionale,Italy,1954-06-16
Giovanni Viola,Italy,12,GK, (1926-06-26),0,,Juventus,Italy,1954-06-16
Ardico Magnini,Italy,13,DF, (1928-10-21),4,,Fiorentina,Italy,1954-06-16
Sergio Cervato,Italy,14,DF, (1929-03-22),11,,Fiorentina,Italy,1954-06-16
Giacomo Mari,Italy,15,MF, (1924-10-17),7,,Sampdoria,Italy,1954-06-16
Rino Ferrario,Italy,16,MF, (1926-12-07),1,,Juventus,Italy,1954-06-16
Armando Segato,Italy,17,FW, (1930-05-03),3,,Fiorentina,Italy,1954-06-16
Gino Pivatelli,Italy,18,FW, (1933-03-27),0,,Bologna,Italy,1954-06-16
Giampiero Boniperti (c),Italy,19,FW, (1928-07-04),22,,Juventus,Italy,1954-06-16
Guido Gratton,Italy,20,MF, (1932-09-23),1,,Fiorentina,Italy,1954-06-16
Amleto Frignani,Italy,21,FW, (1932-03-05),6,,Milan,Italy,1954-06-16
Leonardo Costagliola,Italy,22,GK, (1921-10-27),3,,Fiorentina,Italy,1954-06-16
