Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Rudolf Szanwald,Austria,1,GK, (1931-07-06),2,,Wiener SC,Austria
Paul Halla,Austria,2,DF, (1931-04-10),21,,SK Rapid Wien,Austria
Ernst Happel,Austria,3,DF, (1925-11-29),48,,SK Rapid Wien,Austria
Franz Swoboda,Austria,4,DF, (1933-02-15),13,,Austria Wien,Austria
Gerhard Hanappi (captain),Austria,5,DF, (1929-07-09),67,,SK Rapid Wien,Austria
Karl Koller,Austria,6,MF, (1929-02-08),39,,First Vienna FC,Austria
Walter Horak,Austria,7,FW, (1931-06-01),2,,Wiener SC,Austria
Paul Kozlicek,Austria,8,FW, (1937-07-22),5,,Wacker Wien,Austria
Hans Buzek,Austria,9,FW, (1938-05-22),12,,First Vienna FC,Austria
Alfred Körner,Austria,10,FW, (1926-02-14),42,,SK Rapid Wien,Austria
Helmut Senekowitsch,Austria,11,FW, (1933-10-22),4,,SK Sturm Graz,Austria
Kurt Schmied,Austria,12,GK, (1926-06-14),24,,First Vienna FC,Austria
Walter Schleger,Austria,13,FW, (1929-09-19),20,,Austria Wien,Austria
Josef Hamerl,Austria,14,FW, (1931-01-22),2,,Wiener SC,Austria
Walter Kollmann,Austria,15,DF, (1932-06-17),14,,Wacker Wien,Austria
Karl Stotz,Austria,16,MF, (1927-03-27),22,,Austria Wien,Austria
Ernst Kozlicek,Austria,17,MF, (1931-01-27),9,,Wacker Wien,Austria
Leopold Barschandt,Austria,18,DF, (1925-08-12),21,,Wiener SC,Austria
Robert Dienst,Austria,19,FW, (1928-03-01),27,,SK Rapid Wien,Austria
Herbert Ninaus,Austria,20,FW, (1937-03-31),0,,Grazer AK,Austria
Ignaz Puschnik,Austria,21,MF, (1934-02-05),1,,Kapfenberger SV,Austria
Bruno Engelmeier,Austria,22,GK, (1927-09-05),9,,1. Simmeringer SC,Austria
