Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Lev Yashin,Soviet Union,1,GK, (1929-10-22),22,,Dynamo Moscow,Soviet Union
Vladimir Kesarev,Soviet Union,2,DF, (1930-02-26),2,,Dynamo Moscow,Soviet Union
Konstantin Krizhevsky,Soviet Union,3,MF, (1926-02-20),9,,Dynamo Moscow,Soviet Union
Boris Kuznetsov,Soviet Union,4,DF, (1928-07-14),15,,Dynamo Moscow,Soviet Union
Yuri Voinov,Soviet Union,5,DF, (1931-11-29),9,,Dynamo Kyiv,Soviet Union
Igor Netto,Soviet Union,6,MF, (1930-01-09),30,,Spartak Moscow,Soviet Union
German Apukhtin,Soviet Union,7,FW, (1936-06-12),2,,CSKA Moscow,Soviet Union
Valentin Ivanov,Soviet Union,8,FW, (1934-11-19),15,,Torpedo Moscow,Soviet Union
Nikita Simonyan (captain),Soviet Union,9,FW, (1926-10-12),13,,Spartak Moscow,Soviet Union
Sergei Salnikov,Soviet Union,10,FW, (1925-09-13),17,,Spartak Moscow,Soviet Union
Anatoli Ilyin,Soviet Union,11,FW, (1931-06-27),22,,Spartak Moscow,Soviet Union
Vladimir Maslachenko,Soviet Union,12,GK, (1936-03-05),0,,Lokomotiv Moscow,Soviet Union
Vladimir Belyayev,Soviet Union,13,GK, (1933-09-15),2,,Dynamo Moscow,Soviet Union
Leonid Ostrovskiy,Soviet Union,14,DF, (1936-01-17),0,,Torpedo Moscow,Soviet Union
Anatoli Maslyonkin,Soviet Union,15,DF, (1930-06-26),8,,Spartak Moscow,Soviet Union
Viktor Tsarev,Soviet Union,16,MF, (1931-06-02),1,,Dynamo Moscow,Soviet Union
Aleksandr Ivanov,Soviet Union,17,FW, (1928-04-14),0,,Zenit Leningrad,Soviet Union
Valentin Bubukin,Soviet Union,18,FW, (1933-04-23),0,,Lokomotiv Moscow,Soviet Union
Gennadi Gusarov,Soviet Union,19,FW, (1937-03-11),0,,Torpedo Moscow,Soviet Union
Yuri Falin,Soviet Union,20,FW, (1937-04-02),1,,Torpedo Moscow,Soviet Union
Genrich Fedosov,Soviet Union,21,FW, (1932-12-06),1,,Dynamo Moscow,Soviet Union
Vladimir Yerokhin,Soviet Union,22,DF, (1930-04-10),0,,Dynamo Kyiv,Soviet Union
