Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Yitzchak Vissoker,Israel,1,GK, (1944-09-18),17,,Hapoel Petah Tikva,Israel,1970-05-31
Shraga Bar,Israel,2,DF, (1948-03-24),13,,Maccabi Netanya,Israel,1970-05-31
Menachem Bello,Israel,3,DF, (1947-12-26),25,,Maccabi Tel Aviv,Israel,1970-05-31
David Primo,Israel,4,MF, (1946-05-05),18,,Hapoel Tel Aviv,Israel,1970-05-31
Zvi Rosen,Israel,5,DF, (1947-06-23),16,,Maccabi Tel Aviv,Israel,1970-05-31
Shmuel Rosenthal,Israel,6,DF, (1947-04-22),23,,Hapoel Petah Tikva,Israel,1970-05-31
Itzhak Shum,Israel,7,MF, (1948-09-01),8,,Hapoel Kfar Saba,Israel,1970-05-31
Giora Spiegel,Israel,8,FW, (1947-07-27),19,,Maccabi Tel Aviv,Israel,1970-05-31
Yehoshua Feigenbaum,Israel,9,FW, (1947-12-05),15,,Hapoel Tel Aviv,Israel,1970-05-31
Mordechai Spiegler (c),Israel,10,FW, (1944-08-19),36,,Maccabi Netanya,Israel,1970-05-31
George Borba,Israel,11,MF, (1944-07-12),10,,Hapoel Tel Aviv,Israel,1970-05-31
Yisha'ayahu Schwager,Israel,12,MF, (1946-02-10),6,,Maccabi Haifa,Israel,1970-05-31
Yechezekel Chazom,Israel,13,FW, (1947-01-01),4,,Hapoel Tel Aviv,Israel,1970-05-31
Danny Shmulevich-Rom,Israel,14,MF, (1940-11-29),24,,Maccabi Haifa,Israel,1970-05-31
Rachamim Talbi,Israel,15,FW, (1943-05-17),25,,Maccabi Tel Aviv,Israel,1970-05-31
Yochanan Vollach,Israel,16,DF, (1945-05-14),4,,Hapoel Haifa,Israel,1970-05-31
Eli Ben Rimoz,Israel,17,FW, (1944-11-20),2,,Hapoel Jerusalem,Israel,1970-05-31
Moshe Romano,Israel,18,MF, (1946-05-06),6,,Shimshon Tel Aviv,Israel,1970-05-31
Roni Shuruk,Israel,19,MF, (1946-02-24),8,,Hakoah Maccabi Ramat Gan,Israel,1970-05-31
David Karako,Israel,20,DF, (1945-02-11),6,,Maccabi Tel Aviv,Israel,1970-05-31
Yechiel Hameiri,Israel,21,GK, (1946-08-20),1,,Hapoel Haifa,Israel,1970-05-31
Yair Nossovsky,Israel,22,GK, (1937-06-29),3,,Hapoel Kfar Saba,Israel,1970-05-31
