Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Allal Benkassou,Morocco,1,GK, (1941-11-11),2,,FAR Rabat,Morocco
Abdallah Lamrani,Morocco,2,DF, (1946-01-01),0,,FAR Rabat,Morocco
Boujemaa Benkhrif,Morocco,3,DF, (1947-11-30),0,,KAC Kenitra,Morocco
Moulay Khanousi (c),Morocco,4,DF, (1939-06-21),0,,MAS Fes,Morocco
Kacem Slimani,Morocco,5,DF, (1948-07-01),0,,RS Settat,Morocco
Mohammed Mahroufi,Morocco,6,MF, (1947-01-01),0,,DH Jadida,Morocco
Said Ghandi,Morocco,7,MF, (1948-08-16),0,,RCA Casablanca,Morocco
Driss Bamous,Morocco,8,MF, (1942-12-15),2,,FAR Rabat,Morocco
Ahmed Faras,Morocco,9,FW, (1946-12-07),0,,Chabab Mohammedia,Morocco
Mohammed El Filali,Morocco,10,FW, (1945-07-09),0,,Mouloudia Oujda,Morocco
Maouhoub Ghazouani,Morocco,11,MF, (1946-01-01),0,,FAR Rabat,Morocco
Mohammed Hazzaz,Morocco,12,GK, (1944-11-30),0,,MAS Fes,Morocco
Jalili Fadili,Morocco,13,DF, (1940-01-01),0,,FAR Rabat,Morocco
Houmane Jarir,Morocco,14,FW, (1944-11-30),0,,RCA Casablanca,Morocco
Hadi Dahane,Morocco,15,MF, (1946-01-01),?,,Union Sidi Kacem,Morocco
Mustapha Choukri,Morocco,16,MF, (1945-01-01),0,,RCA Casablanca,Morocco
Ahmed Alaoui,Morocco,17,FW, (1949-01-01),0,,RS Settat,Morocco
Abdelkader El Khiati,Morocco,18,DF, (1945-01-01),0,,FAR Rabat,Morocco
Abdelkader Ouaraghli,Morocco,19,GK, (1943-01-01),?,,WAC Casablanca,Morocco
