Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Luis Rubiños,Peru,1,GK, (1940-12-31),3,,Sporting Cristal,Peru
Eloy Campos,Peru,2,DF, (1942-05-31),11,,Sporting Cristal,Peru
Orlando de la Torre,Peru,3,DF, (1943-11-21),2,,Sporting Cristal,Peru
Héctor Chumpitaz (c),Peru,4,DF, (1944-04-12),4,,Universitario,Peru
Nicolás Fuentes,Peru,5,DF, (1941-12-20),0,,Universitario,Peru
Ramón Mifflin,Peru,6,MF, (1947-04-05),6,,Sporting Cristal,Peru
Roberto Challe,Peru,7,MF, (1946-11-24),3,,Universitario,Peru
Julio Baylón,Peru,8,MF, (1947-12-10),4,,Alianza Lima,Peru
Pedro Pablo León,Peru,9,FW, (1943-03-26),10,,Alianza Lima,Peru
Teófilo Cubillas,Peru,10,FW, (1949-03-08),3,,Alianza Lima,Peru
Alberto Gallardo,Peru,11,MF, (1940-11-28),13,,Sporting Cristal,Peru
Rubén Correa,Peru,12,GK, (1941-07-25),?,,Universitario,Peru
Pedro González,Peru,13,MF, (1943-05-19),1,,Universitario,Peru
José Fernández,Peru,14,DF, (1939-02-14),3,,Sporting Cristal,Peru
Javier González,Peru,15,MF, (1939-05-11),2,,Alianza Lima,Peru
Félix Salinas,Peru,16,DF, (1939-05-11),?,,Universitario,Peru
Luis Cruzado,Peru,17,MF, (1941-07-06),0,,Universitario,Peru
José del Castillo,Peru,18,FW, (1943-01-01),?,,Sporting Cristal,Peru
Eladio Reyes,Peru,19,FW, (1948-01-08),0,,Juan Aurich,Peru
Hugo Sotil,Peru,20,FW, (1948-05-18),0,,Deportivo Municipal,Peru
Jesus Goyzueta,Peru,21,GK, (1947-01-01),?,,Universitario,Peru
Oswaldo Ramírez,Peru,22,FW, (1947-03-29),2,,Sport Boys,Peru
