Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jürgen Croy,East Germany,1,GK, (1946-10-19),43,,BSG Sachsenring Zwickau,East Germany,1974-06-13
Lothar Kurbjuweit,East Germany,2,DF, (1950-11-06),30,,FC Carl Zeiss Jena,East Germany,1974-06-13
Bernd Bransch (c),East Germany,3,DF, (1944-09-24),49,,FC Carl Zeiss Jena,East Germany,1974-06-13
Konrad Weise,East Germany,4,DF, (1951-08-17),23,,FC Carl Zeiss Jena,East Germany,1974-06-13
Joachim Fritsche,East Germany,5,DF, (1951-10-28),7,,1. FC Lokomotive Leipzig,East Germany,1974-06-13
Rüdiger Schnuphase,East Germany,6,MF, (1954-01-23),4,,FC Rot-Weiss Erfurt,East Germany,1974-06-13
Jürgen Pommerenke,East Germany,7,MF, (1953-01-22),10,,1. FC Magdeburg,East Germany,1974-06-13
Wolfram Löwe,East Germany,8,FW, (1945-05-14),33,,1. FC Lokomotive Leipzig,East Germany,1974-06-13
Peter Ducke,East Germany,9,FW, (1941-10-14),57,,FC Carl Zeiss Jena,East Germany,1974-06-13
Hans-Jürgen Kreische,East Germany,10,FW, (1947-07-19),38,,SG Dynamo Dresden,East Germany,1974-06-13
Joachim Streich,East Germany,11,FW, (1951-04-13),30,,F.C. Hansa Rostock,East Germany,1974-06-13
Siegmar Wätzlich,East Germany,12,DF, (1947-11-16),9,,SG Dynamo Dresden,East Germany,1974-06-13
Reinhard Lauck,East Germany,13,MF, (1946-09-16),14,,BFC Dynamo,East Germany,1974-06-13
Jürgen Sparwasser,East Germany,14,MF, (1948-06-04),29,,1. FC Magdeburg,East Germany,1974-06-13
Eberhard Vogel,East Germany,15,FW, (1943-04-08),53,,FC Carl Zeiss Jena,East Germany,1974-06-13
Harald Irmscher,East Germany,16,MF, (1946-02-12),30,,FC Carl Zeiss Jena,East Germany,1974-06-13
Erich Hamann,East Germany,17,MF, (1944-11-27),1,,FC Vorwärts Frankfurt (Oder),East Germany,1974-06-13
Gerd Kische,East Germany,18,DF, (1951-10-23),13,,F.C. Hansa Rostock,East Germany,1974-06-13
Wolfgang Seguin,East Germany,19,MF, (1945-09-14),13,,1. FC Magdeburg,East Germany,1974-06-13
Martin Hoffmann,East Germany,20,FW, (1955-03-22),3,,1. FC Magdeburg,East Germany,1974-06-13
Wolfgang Blochwitz,East Germany,21,GK, (1941-02-08),17,,FC Carl Zeiss Jena,East Germany,1974-06-13
Werner Friese,East Germany,22,GK, (1946-03-30),0,,1. FC Lokomotive Leipzig,East Germany,1974-06-13
