Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Henri Françillon,Haiti,1,GK, (1946-05-26),1,,Victory,Haiti,1974-06-13
Wilfried Louis,Haiti,2,DF, (1949-10-25),0,,Don Bosco,Haiti,1974-06-13
Arsène Auguste,Haiti,3,DF, (1951-02-03),1,,Racing Club Haïtien,Haiti,1974-06-13
Fritz André,Haiti,4,DF, (1946-09-18),0,,Violette,Haiti,1974-06-13
Serge Ducosté,Haiti,5,DF, (1944-02-04),0,,Aigle Noir,Haiti,1974-06-13
Pierre Bayonne,Haiti,6,DF, (1949-06-11),1,,Violette,Haiti,1974-06-13
Philippe Vorbe,Haiti,7,MF, (1947-09-14),1,,Violette,Haiti,1974-06-13
Jean-Claude Désir,Haiti,8,MF, (1946-08-08),1,,Aigle Noir,Haiti,1974-06-13
Eddy Antoine,Haiti,9,MF, (1949-08-27),1,,Racing Club Haïtien,Haiti,1974-06-13
Guy François,Haiti,10,MF, (1947-09-18),0,,Violette,Haiti,1974-06-13
Guy Saint-Vil,Haiti,11,FW, (1942-10-21),1,,Racing Club Haïtien,Haiti,1974-06-13
Ernst Jean-Joseph,Haiti,12,MF, (1948-06-11),1,,Violette,Haiti,1974-06-13
Serge Racine,Haiti,13,DF, (1951-10-09),1,,Aigle Noir,Haiti,1974-06-13
Wilner Nazaire (c),Haiti,14,DF, (1950-03-30),0,,Valenciennes,France,1974-06-13
Roger Saint-Vil,Haiti,15,FW, (1949-12-08),1,,Archibald,Trinidad and Tobago,1974-06-13
Fritz Leandré,Haiti,16,FW, (1948-03-13),0,,Racing Club Haïtien,Haiti,1974-06-13
Joseph-Marion Leandré,Haiti,17,MF, (1945-05-09),1,,Racing Club Haïtien,Haiti,1974-06-13
Claude Barthélemy,Haiti,18,FW, (1945-05-09),1,,Racing Club Haïtien,Haiti,1974-06-13
Jean-Herbert Austin,Haiti,19,DF, (1950-02-23),?,,Violette,Haiti,1974-06-13
Emmanuel Sanon,Haiti,20,FW, (1951-06-25),1,,Don Bosco,Haiti,1974-06-13
Wilner Piquant,Haiti,21,GK, (1949-10-12),?,,Violette,Haiti,1974-06-13
Gérard Joseph,Haiti,22,GK, (1949-10-22),?,,Racing Club Haïtien,Haiti,1974-06-13
