Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Enver Marić,Yugoslavia,1,GK, (1948-04-23),23,,Velež Mostar,Socialist Federal Republic of Yugoslavia
Ivan Buljan,Yugoslavia,2,DF, (1949-12-11),7,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Enver Hadžiabdić,Yugoslavia,3,DF, (1945-11-06),5,,Željezničar,Socialist Federal Republic of Yugoslavia
Dražen Mužinić,Yugoslavia,4,MF, (1953-01-25),3,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Josip Katalinski,Yugoslavia,5,DF, (1948-05-12),21,,Željezničar,Socialist Federal Republic of Yugoslavia
Vladislav Bogićević,Yugoslavia,6,MF, (1950-11-07),9,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Ilija Petković,Yugoslavia,7,FW, (1945-09-22),38,,Troyes,France
Branko Oblak,Yugoslavia,8,MF, (1947-05-27),29,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Ivica Šurjak,Yugoslavia,9,FW, (1953-03-23),7,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Jovan Aćimović,Yugoslavia,10,MF, (1948-06-21),43,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Dragan Džajić (c),Yugoslavia,11,FW, (1946-05-30),72,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Jurica Jerković,Yugoslavia,12,MF, (1950-02-25),25,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Miroslav Pavlović,Yugoslavia,13,MF, (1942-10-23),45,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Luka Peruzović,Yugoslavia,14,DF, (1952-02-26),0,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Kiril Dojčinovski,Yugoslavia,15,DF, (1943-10-17),6,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Franjo Vladić,Yugoslavia,16,MF, (1951-10-19),16,,Velež Mostar,Socialist Federal Republic of Yugoslavia
Danilo Popivoda,Yugoslavia,17,FW, (1947-05-01),8,,Olimpija Ljubljana,Socialist Federal Republic of Yugoslavia
Stanislav Karasi,Yugoslavia,18,FW, (1946-11-08),6,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Dušan Bajević,Yugoslavia,19,FW, (1948-12-10),28,,Velež Mostar,Socialist Federal Republic of Yugoslavia
Vladimir Petrović,Yugoslavia,20,MF, (1955-07-01),5,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Ognjen Petrović,Yugoslavia,21,GK, (1948-01-02),2,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Rizah Mešković,Yugoslavia,22,GK, (1947-08-10),1,,Hajduk Split,Socialist Federal Republic of Yugoslavia
