Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jan Tomaszewski,Poland,1,GK, (1948-01-09),57,,ŁKS Łódź,Poland,1978-06-01
Włodzimierz Mazur,Poland,2,FW, (1954-04-18),7,,Zagłębie Sosnowiec,Poland,1978-06-01
Henryk Maculewicz,Poland,3,DF, (1950-04-24),14,,Wisła Kraków,Poland,1978-06-01
Antoni Szymanowski,Poland,4,DF, (1951-01-13),61,,Wisła Kraków,Poland,1978-06-01
Adam Nawałka,Poland,5,MF, (1957-10-23),11,,Wisła Kraków,Poland,1978-06-01
Jerzy Gorgoń,Poland,6,DF, (1949-07-18),50,,Górnik Zabrze,Poland,1978-06-01
Andrzej Iwan,Poland,7,FW, (1959-11-10),0,,Wisła Kraków,Poland,1978-06-01
Henryk Kasperczak,Poland,8,MF, (1946-07-10),55,,Stal Mielec,Poland,1978-06-01
Władysław Żmuda,Poland,9,DF, (1954-06-06),44,,Śląsk Wrocław,Poland,1978-06-01
Wojciech Rudy,Poland,10,DF, (1952-10-24),14,,Zagłębie Sosnowiec,Poland,1978-06-01
Bohdan Masztaler,Poland,11,MF, (1949-09-19),16,,ŁKS Łódź,Poland,1978-06-01
Kazimierz Deyna (c),Poland,12,MF, (1947-10-23),91,,Legia Warsaw,Poland,1978-06-01
Janusz Kupcewicz,Poland,13,DF, (1955-12-09),2,,Arka Gdynia,Poland,1978-06-01
Mirosław Justek,Poland,14,DF, (1948-09-23),3,,Lech Poznań,Poland,1978-06-01
Marek Kusto,Poland,15,MF, (1954-04-29),11,,Legia Warsaw,Poland,1978-06-01
Grzegorz Lato,Poland,16,FW, (1950-04-08),59,,Stal Mielec,Poland,1978-06-01
Andrzej Szarmach,Poland,17,FW, (1950-10-03),49,,Stal Mielec,Poland,1978-06-01
Zbigniew Boniek,Poland,18,MF, (1956-03-03),21,,Widzew Łódź,Poland,1978-06-01
Włodzimierz Lubański,Poland,19,FW, (1947-02-28),69,,Lokeren,Belgium,1978-06-01
Roman Wójcicki,Poland,20,DF, (1958-01-08),1,,Odra Opole,Poland,1978-06-01
Zygmunt Kukla,Poland,21,GK, (1948-01-21),5,,Stal Mielec,Poland,1978-06-01
Zdzisław Kostrzewa,Poland,22,GK, (1955-10-26),1,,Zagłębie Sosnowiec,Poland,1978-06-01
