Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Oscar Wirth,Chile,1,GK, (1955-11-05),5,,Cobreloa,Chile,1982-06-13
Lizardo Garrido,Chile,2,DF, (1957-08-25),15,,Colo-Colo,Chile,1982-06-13
René Valenzuela,Chile,3,DF, (1955-04-20),23,,Universidad Católica,Chile,1982-06-13
Vladimir Bigorra,Chile,4,DF, (1954-08-09),17,,Universidad de Chile,Chile,1982-06-13
Elías Figueroa (c),Chile,5,DF, (1946-10-25),44,,Colo-Colo,Chile,1982-06-13
Rodolfo Dubó,Chile,6,MF, (1953-09-11),27,,Palestino,Chile,1982-06-13
Eduardo Bonvallet,Chile,7,MF, (1955-01-13),21,,Universidad Católica,Chile,1982-06-13
Carlos Rivas,Chile,8,MF, (1953-05-24),24,,Colo-Colo,Chile,1982-06-13
Juan Carlos Letelier,Chile,9,FW, (1959-05-20),5,,Cobreloa,Chile,1982-06-13
Mario Soto,Chile,10,DF, (1950-07-10),34,,Cobreloa,Chile,1982-06-13
Gustavo Moscoso,Chile,11,FW, (1955-08-10),18,,Universidad Católica,Chile,1982-06-13
Marco Cornez,Chile,12,GK, (1957-10-15),0,,Palestino,Chile,1982-06-13
Carlos Caszely,Chile,13,FW, (1950-07-05),42,,Colo-Colo,Chile,1982-06-13
Raúl Ormeño,Chile,14,MF, (1958-06-21),1,,Colo-Colo,Chile,1982-06-13
Patricio Yáñez,Chile,15,FW, (1961-01-20),23,,San Luis,Chile,1982-06-13
Manuel Rojas,Chile,16,MF, (1954-06-13),27,,Universidad Católica,Chile,1982-06-13
Oscar Rojas,Chile,17,DF, (1958-11-15),1,,Colo-Colo,Chile,1982-06-13
Mario Galindo,Chile,18,DF, (1951-08-10),28,,Colo-Colo,Chile,1982-06-13
Enzo Escobar,Chile,19,DF, (1951-11-10),26,,Cobreloa,Chile,1982-06-13
Miguel Ángel Neira,Chile,20,MF, (1952-10-09),23,,Universidad Católica,Chile,1982-06-13
Miguel Ángel Gamboa,Chile,21,FW, (1951-06-21),14,,Universidad de Chile,Chile,1982-06-13
Mario Osbén,Chile,22,GK, (1950-07-14),26,,Colo-Colo,Chile,1982-06-13
