Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Luis Guevara Mora,El Salvador,1,GK, (1961-09-02),0,,Platense Municipal,El Salvador,1982-06-13
Mario Castillo,El Salvador,2,DF, (1951-10-30),0,,Santiagueño,El Salvador,1982-06-13
José Francisco Jovel,El Salvador,3,DF, (1951-05-26),0,,Águila,El Salvador,1982-06-13
Carlos Recinos,El Salvador,4,DF, (1950-06-30),0,,FAS,El Salvador,1982-06-13
Ramón Fagoaga,El Salvador,5,DF, (1952-01-12),0,,Atlético Marte,El Salvador,1982-06-13
Joaquín Ventura,El Salvador,6,MF, (1956-10-27),0,,Santiagueño,El Salvador,1982-06-13
Silvio Aquino,El Salvador,7,MF, (1949-06-30),?,,Deportivo Jalapa,Guatemala,1982-06-13
José Luis Rugamas,El Salvador,8,MF, (1953-06-05),0,,Atlético Marte,El Salvador,1982-06-13
Ever Hernández,El Salvador,9,FW, (1958-12-11),0,,Santiagueño,El Salvador,1982-06-13
Norberto Huezo (c),El Salvador,10,MF, (1956-06-06),0,,Atlético Marte,El Salvador,1982-06-13
Jorge González,El Salvador,11,FW, (1958-03-13),0,,FAS,El Salvador,1982-06-13
Francisco Osorto,El Salvador,12,DF, (1957-03-20),0,,Santiagueño,El Salvador,1982-06-13
José María Rivas,El Salvador,13,FW, (1958-05-12),0,,Independiente de San Vicente,El Salvador,1982-06-13
Luis Ramírez Zapata,El Salvador,14,FW, (1954-01-06),0,,Atlético Marte,El Salvador,1982-06-13
Jaime Rodríguez,El Salvador,15,DF, (1959-01-17),0,,Bayer Uerdingen,West Germany,1982-06-13
Mauricio Alfaro,El Salvador,16,MF, (1956-02-13),0,,Platense Municipal,El Salvador,1982-06-13
Guillermo Ragazzone,El Salvador,17,FW, (1956-01-05),?,,Atlético Marte,El Salvador,1982-06-13
Miguel Ángel Díaz,El Salvador,18,DF, (1957-01-27),0,,CD Chalatenango,El Salvador,1982-06-13
Eduardo Hernández,El Salvador,19,GK, (1958-01-31),?,,Santiagueño,El Salvador,1982-06-13
José Luis Munguía,El Salvador,20,GK, (1959-10-28),?,,FAS,El Salvador,1982-06-13
