Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Salomón Nazar,Honduras,1,GK, (1953-09-07),?,,Universidad,Honduras,1982-06-13
Efraín Gutiérrez,Honduras,2,DF, (1954-05-07),0,,Universidad,Honduras,1982-06-13
Jaime Villegas,Honduras,3,DF, (1950-07-05),0,,Real España,Honduras,1982-06-13
Fernando Bulnes,Honduras,4,DF, (1946-10-21),0,,Olimpia,Honduras,1982-06-13
Anthony Costly,Honduras,5,DF, (1954-12-13),0,,Real España,Honduras,1982-06-13
Ramón Maradiaga (c),Honduras,6,MF, (1954-10-30),0,,Motagua,Honduras,1982-06-13
Antonio Laing,Honduras,7,FW, (1958-12-27),0,,Platense,Honduras,1982-06-13
Francisco Javier Toledo,Honduras,8,MF, (1959-09-30),?,,Marathón,Honduras,1982-06-13
Armando Betancourt,Honduras,9,FW, (1957-10-10),0,,Real España,Honduras,1982-06-13
Roberto Figueroa,Honduras,10,FW, (1959-12-15),0,,Vida,Honduras,1982-06-13
David Buezo,Honduras,11,MF, (1955-05-05),?,,Motagua,Honduras,1982-06-13
Domingo Drummond,Honduras,12,DF, (1957-04-14),0,,Platense,Honduras,1982-06-13
Prudencio Norales,Honduras,13,MF, (1956-04-20),0,,Olimpia,Honduras,1982-06-13
Juan Cruz,Honduras,14,MF, (1959-06-24),0,,Universidad,Honduras,1982-06-13
Héctor Zelaya,Honduras,15,DF, (1957-07-12),0,,Motagua,Honduras,1982-06-13
Roberto Bailey,Honduras,16,FW, (1952-08-10),?,,Marathón,Honduras,1982-06-13
Luis Cruz,Honduras,17,DF, (1949-06-12),0,,Motagua,Honduras,1982-06-13
Carlos Caballero,Honduras,18,MF, (1958-12-05),0,,Real España,Honduras,1982-06-13
Celso Güity,Honduras,19,FW, (1955-08-07),?,,Marathón,Honduras,1982-06-13
Gilberto Yearwood,Honduras,20,MF, (1956-03-15),0,,Valladolid,Spain,1982-06-13
Julio César Arzú,Honduras,21,GK, (1954-06-05),0,,Real España,Honduras,1982-06-13
Jimmy Steward,Honduras,22,GK, (1946-12-09),?,,Real España,Honduras,1982-06-13
