Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ahmed Al-Tarabulsi,Kuwait,1,GK, (1947-03-22),4,,Kuwait SC,Kuwait
Naeem Saad,Kuwait,2,DF, (1957-10-01),0,,Al Tadamun,Kuwait
Mahboub Juma'a,Kuwait,3,DF, (1955-09-17),4,,Al-Salmiya,Kuwait
Jamal Al-Qabendi,Kuwait,4,DF, (1959-04-07),3,,Kazma,Kuwait
Waleed Al-Jasem,Kuwait,5,DF, (1959-11-18),4,,Kuwait SC,Kuwait
Saad Al-Houti (c),Kuwait,6,MF, (1954-05-24),4,,Kuwait SC,Kuwait
Fathi Kameel,Kuwait,7,FW, (1955-05-23),0,,Al Tadamun,Kuwait
Abdullah Al-Buloushi,Kuwait,8,FW, (1960-02-16),3,,Al-Arabi,Kuwait
Jasem Yaqoub,Kuwait,9,FW, (1953-10-25),4,,Al-Qadsia,Kuwait
Abdulaziz Al-Anberi,Kuwait,10,FW, (1954-01-03),0,,Kuwait SC,Kuwait
Nassir Al-Ghanem,Kuwait,11,MF, (1961-04-04),?,,Kazma,Kuwait
Yussef Al-Suwayed,Kuwait,12,MF, (1958-09-20),2,,Kazma,Kuwait
Mubarak Marzouq,Kuwait,13,DF, (1961-01-01),?,,Al Tadamun,Kuwait
Abdullah Mayouf,Kuwait,14,DF, (1953-12-03),0,,Kazma,Kuwait
Sami Al-Hashash,Kuwait,15,DF, (1959-09-15),2,,Al-Arabi,Kuwait
Faisal Al-Dakhil,Kuwait,16,FW, (1957-08-13),4,,Al-Qadsia,Kuwait
Hamoud Al-Shemmari,Kuwait,17,DF, (1960-09-26),4,,Kazma,Kuwait
Mohammed Karam,Kuwait,18,MF, (1955-01-01),0,,Al-Arabi,Kuwait
Muayad Al-Haddad,Kuwait,19,FW, (1960-01-01),?,,Khaitan,Kuwait
Abdulaziz Al-Buloushi,Kuwait,20,FW, (1962-12-04),?,,Al-Qadsia,Kuwait
Adam Marjan,Kuwait,21,GK, (1957-09-23),?,,Kazma,Kuwait
Jasem Bahman,Kuwait,22,GK, (1958-02-15),?,,Al-Qadsia,Kuwait
