Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Sergio Almirón,Argentina,1,FW, (1958-11-18),3,,Newell's Old Boys,Argentina,1986-05-31
Sergio Batista,Argentina,2,MF, (1962-11-09),5,,Argentinos Juniors,Argentina,1986-05-31
Ricardo Bochini,Argentina,3,MF, (1954-01-25),27,,Independiente,Argentina,1986-05-31
Claudio Borghi,Argentina,4,MF, (1964-09-28),4,,Argentinos Juniors,Argentina,1986-05-31
José Luis Brown,Argentina,5,DF, (1956-11-10),14,,Deportivo Español,Argentina,1986-05-31
Daniel Passarella,Argentina,6,DF, (1953-05-25),68,,Fiorentina,Italy,1986-05-31
Jorge Burruchaga,Argentina,7,FW, (1962-10-09),33,,Nantes,France,1986-05-31
Néstor Clausen,Argentina,8,DF, (1962-09-29),20,,Independiente,Argentina,1986-05-31
José Luis Cuciuffo,Argentina,9,DF, (1961-02-01),1,,Vélez Sársfield,Argentina,1986-05-31
Diego Maradona (Captain),Argentina,10,MF, (1960-10-30),44,,Napoli,Italy,1986-05-31
Jorge Valdano,Argentina,11,FW, (1955-10-04),13,,Real Madrid,Spain,1986-05-31
Héctor Enrique,Argentina,12,MF, (1962-04-26),2,,River Plate,Argentina,1986-05-31
Oscar Garré,Argentina,13,DF, (1956-12-09),32,,Ferro Carril Oeste,Argentina,1986-05-31
Ricardo Giusti,Argentina,14,MF, (1956-12-11),26,,Independiente,Argentina,1986-05-31
Luis Islas,Argentina,15,GK, (1965-12-22),10,,Estudiantes La Plata,Argentina,1986-05-31
Julio Olarticoechea,Argentina,16,DF, (1958-10-18),5,,Boca Juniors,Argentina,1986-05-31
Pedro Pasculli,Argentina,17,FW, (1960-05-17),13,,Lecce,Italy,1986-05-31
Nery Pumpido,Argentina,18,GK, (1957-07-30),15,,River Plate,Argentina,1986-05-31
Oscar Ruggeri,Argentina,19,DF, (1962-01-26),19,,River Plate,Argentina,1986-05-31
Carlos Tapia,Argentina,20,MF, (1962-08-20),2,,Boca Juniors,Argentina,1986-05-31
Marcelo Trobbiani,Argentina,21,MF, (1955-02-17),25,,Elche,Spain,1986-05-31
Héctor Zelada,Argentina,22,GK, (1957-04-30),0,,América,Mexico,1986-05-31
