Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Tino Lettieri,Canada,1,GK, (1957-09-27),21,,Minnesota Strikers,United States,1986-05-31
Bob Lenarduzzi,Canada,2,DF, (1955-05-01),44,,Tacoma Stars,United States,1986-05-31
Bruce Wilson (Captain),Canada,3,DF, (1951-06-20),54,,Inex Toronto,Canada,1986-05-31
Randy Ragan,Canada,4,MF, (1959-06-07),32,,Toronto Blizzard,Canada,1986-05-31
Terry Moore,Canada,5,DF, (1958-06-02),11,,Glentoran,Northern Ireland,1986-05-31
Ian Bridge,Canada,6,DF, (1959-09-18),20,,La Chaux-de-Fonds,Switzerland,1986-05-31
Carl Valentine,Canada,7,FW, (1958-07-04),3,,Cleveland Force,United States,1986-05-31
Gerry Gray,Canada,8,MF, (1961-01-20),22,,Chicago Sting,United States,1986-05-31
Branko Šegota,Canada,9,FW, (1961-06-08),11,,San Diego Sockers,United States,1986-05-31
Igor Vrablic,Canada,10,FW, (1965-07-19),27,,Seraing,Belgium,1986-05-31
Mike Sweeney,Canada,11,MF, (1959-12-25),26,,Cleveland Force,United States,1986-05-31
Randy Samuel,Canada,12,DF, (1963-12-23),25,,PSV,Netherlands,1986-05-31
George Pakos,Canada,13,FW, (1952-08-14),22,,Victoria Athletic Association,Canada,1986-05-31
Dale Mitchell,Canada,14,FW, (1958-04-21),26,,Kansas City Comets,United States,1986-05-31
Paul James,Canada,15,MF, (1963-11-11),30,,Toronto Blizzard,Canada,1986-05-31
Greg Ion,Canada,16,MF, (1963-03-12),5,,Los Angeles Lazers,United States,1986-05-31
David Norman,Canada,17,MF, (1962-05-06),22,,Tacoma Stars,United States,1986-05-31
Jamie Lowery,Canada,18,MF, (1961-01-15),5,,Victoria University,Canada,1986-05-31
Pasquale De Luca,Canada,19,DF, (1962-05-26),19,,Cleveland Force,United States,1986-05-31
Colin Miller,Canada,20,DF, (1964-10-04),7,,Rangers,Scotland,1986-05-31
Sven Habermann,Canada,21,GK, (1961-11-03),11,,Inex Toronto,Canada,1986-05-31
Paul Dolan,Canada,22,GK, (1966-04-16),20,,Edmonton Brick Men,Canada,1986-05-31
