Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Raad Hammoudi (Captain),Iraq,1,GK, (1958-05-01),0,,Al-Shorta,Iraq,1986-05-31
Maad Ibrahim,Iraq,2,DF, (1960-06-30),0,,Al-Rasheed,Iraq,1986-05-31
Khalil Allawi,Iraq,3,DF, (1958-09-06),0,,Al-Rasheed,Iraq,1986-05-31
Nadhim Shaker,Iraq,4,DF, (1958-04-13),0,,Al-Tayaran,Iraq,1986-05-31
Samir Shaker,Iraq,5,DF, (1958-02-28),0,,Al-Rasheed,Iraq,1986-05-31
Ali Hussein Shihab,Iraq,6,MF, (1961-05-05),0,,Al-Talaba,Iraq,1986-05-31
Haris Mohammed,Iraq,7,MF, (1958-03-03),0,,Al-Rasheed,Iraq,1986-05-31
Ahmed Radhi,Iraq,8,FW, (1964-03-21),0,,Al-Rasheed,Iraq,1986-05-31
Karim Saddam,Iraq,9,FW, (1960-05-26),0,,Al-Jaish,Iraq,1986-05-31
Hussein Saeed,Iraq,10,FW, (1958-01-21),0,,Al-Talaba,Iraq,1986-05-31
Rahim Hameed,Iraq,11,FW, (1963-05-23),0,,Al-Jaish,Iraq,1986-05-31
Jamal Ali,Iraq,12,MF, (1956-02-02),0,,Al-Talaba,Iraq,1986-05-31
Karim Allawi,Iraq,13,DF, (1960-04-01),0,,Al-Rasheed,Iraq,1986-05-31
Basil Gorgis,Iraq,14,MF, (1961-01-15),0,,Al-Shabab,Iraq,1986-05-31
Natiq Hashim,Iraq,15,MF, (1960-01-15),0,,Al-Tayaran,Iraq,1986-05-31
Shaker Mahmoud,Iraq,16,MF, (1963-05-05),0,,Al-Shabab,Iraq,1986-05-31
Anad Abid,Iraq,17,FW, (1955-08-03),0,,Al-Rasheed,Iraq,1986-05-31
Ismail Mohammed Sharif,Iraq,18,MF, (1962-01-19),0,,Al-Shabab,Iraq,1986-05-31
Basim Qasim,Iraq,19,DF, (1963-03-22),0,,Al-Shorta,Iraq,1986-05-31
Fatah Nsaief,Iraq,20,GK, (1951-02-02),0,,Al-Jaish,Iraq,1986-05-31
Ahmad Jassim,Iraq,21,GK, (1960-05-04),0,,Al-Rasheed,Iraq,1986-05-31
Ghanim Oraibi,Iraq,22,DF, (1961-08-16),0,,Al-Shabab,Iraq,1986-05-31
