Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ezzaki Badou (Captain),Morocco,1,GK, (1959-04-02),6,,Wydad Casablanca,Morocco,1986-05-31
Labid Khalifa,Morocco,2,DF, (1955-01-01),1,,Kenitra,Morocco,1986-05-31
Abdelmajid Lamriss,Morocco,3,DF, (1959-02-12),6,,FAR Rabat,Morocco,1986-05-31
Mustapha El Biyaz,Morocco,4,DF, (1960-12-12),4,,KAC Marrakesh,Morocco,1986-05-31
Noureddine Bouyahyaoui,Morocco,5,DF, (1955-01-07),6,,Kenitra,Morocco,1986-05-31
Abdelmajid Dolmy,Morocco,6,MF, (1953-04-19),6,,Raja Casablanca,Morocco,1986-05-31
Mustafa El Haddaoui,Morocco,7,MF, (1961-07-28),4,,Lausanne,Switzerland,1986-05-31
Aziz Bouderbala,Morocco,8,MF, (1960-12-26),2,,Sion,Switzerland,1986-05-31
"Abdelkrim Merry ""Krimau""",Morocco,9,FW, (1955-01-13),1,,Le Havre,France,1986-05-31
Mohamed Timoumi,Morocco,10,MF, (1960-01-15),5,,FAR Rabat,Morocco,1986-05-31
Mustafa Merry,Morocco,11,FW, (1958-04-21),4,,Valenciennes,France,1986-05-31
Salahdine Hmied,Morocco,12,GK, (1961-09-01),?,,FAR Rabat,Morocco,1986-05-31
Abdelfettah Rhiati,Morocco,13,FW, (1963-02-25),1,,Maghreb Fez,Morocco,1986-05-31
Lahcen Ouadani,Morocco,14,DF, (1959-07-14),3,,FAR Rabat,Morocco,1986-05-31
Mouncif El Haddaoui,Morocco,15,MF, (1964-10-21),?,,AS Sale,Morocco,1986-05-31
Azzedine Amanallah,Morocco,16,MF, (1956-04-07),?,,Besançon,France,1986-05-31
Abderrazak Khairi,Morocco,17,FW, (1962-11-20),1,,FAR Rabat,Morocco,1986-05-31
Mohammed Sahil,Morocco,18,MF, (1963-10-11),?,,KAC Marrakesh,Morocco,1986-05-31
Fadel Jilal,Morocco,19,MF, (1964-03-04),0,,Wydad Casablanca,Morocco,1986-05-31
Abdellah Bidane,Morocco,20,DF, (1965-09-10),?,,CODM Meknes,Morocco,1986-05-31
Abdelaziz Souleimani,Morocco,21,MF, (1958-04-30),1,,Maghreb Fez,Morocco,1986-05-31
Abdelfettah Mouddani,Morocco,22,GK, (1956-07-30),?,,Kenitra,Morocco,1986-05-31
