Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Pat Jennings,Northern Ireland,1,GK, (1945-06-12),116,,Everton,England,1986-05-31
Jimmy Nicholl,Northern Ireland,2,DF, (1956-12-28),70,,West Bromwich Albion,England,1986-05-31
Mal Donaghy,Northern Ireland,3,DF, (1957-09-13),42,,Luton Town,England,1986-05-31
John O'Neill,Northern Ireland,4,DF, (1958-03-11),36,,Leicester City,England,1986-05-31
Alan McDonald,Northern Ireland,5,DF, (1963-10-12),5,,Queens Park Rangers,England,1986-05-31
David McCreery,Northern Ireland,6,MF, (1957-09-16),53,,Newcastle United,England,1986-05-31
Steve Penney,Northern Ireland,7,MF, (1964-01-16),7,,Brighton & Hove Albion,England,1986-05-31
Sammy McIlroy (Captain),Northern Ireland,8,MF, (1954-08-02),84,,Manchester City,England,1986-05-31
Jimmy Quinn,Northern Ireland,9,FW, (1959-11-18),11,,Blackburn Rovers,England,1986-05-31
Norman Whiteside,Northern Ireland,10,MF, (1965-05-07),26,,Manchester United,England,1986-05-31
Ian Stewart,Northern Ireland,11,FW, (1961-09-10),26,,Newcastle United,England,1986-05-31
Jim Platt,Northern Ireland,12,GK, (1951-01-26),23,,Coleraine,Northern Ireland,1986-05-31
Philip Hughes,Northern Ireland,13,GK, (1964-11-19),0,,Bury,England,1986-05-31
Gerry Armstrong,Northern Ireland,14,FW, (1954-05-23),62,,Chesterfield,England,1986-05-31
Nigel Worthington,Northern Ireland,15,DF, (1961-11-04),8,,Sheffield Wednesday,England,1986-05-31
Paul Ramsey,Northern Ireland,16,MF, (1962-09-03),9,,Leicester City,England,1986-05-31
Colin Clarke,Northern Ireland,17,FW, (1962-10-30),3,,AFC Bournemouth,England,1986-05-31
John McClelland,Northern Ireland,18,DF, (1955-12-07),38,,Watford,England,1986-05-31
Billy Hamilton,Northern Ireland,19,FW, (1957-05-09),38,,Oxford United,England,1986-05-31
Bernard McNally,Northern Ireland,20,MF, (1963-02-17),1,,Shrewsbury Town,England,1986-05-31
David Campbell,Northern Ireland,21,MF, (1965-06-02),1,,Nottingham Forest,England,1986-05-31
Mark Caughey,Northern Ireland,22,FW, (1960-08-31),2,,Linfield,Northern Ireland,1986-05-31
