Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Harald Schumacher,West Germany,1,GK, (1954-03-06),67,,1. FC Köln,West Germany,1986-05-31
Hans-Peter Briegel,West Germany,2,DF, (1955-10-11),66,,Hellas Verona,Italy,1986-05-31
Andreas Brehme,West Germany,3,DF, (1960-11-09),23,,1. FC Kaiserslautern,West Germany,1986-05-31
Karlheinz Förster,West Germany,4,DF, (1958-07-25),74,,VfB Stuttgart,West Germany,1986-05-31
Matthias Herget,West Germany,5,DF, (1955-11-14),21,,Bayer Uerdingen,West Germany,1986-05-31
Norbert Eder,West Germany,6,DF, (1955-11-07),2,,Bayern Munich,West Germany,1986-05-31
Pierre Littbarski,West Germany,7,FW, (1960-04-16),40,,1. FC Köln,West Germany,1986-05-31
Lothar Matthäus,West Germany,8,MF, (1961-03-21),41,,Bayern Munich,West Germany,1986-05-31
Rudi Völler,West Germany,9,FW, (1960-04-13),31,,Werder Bremen,West Germany,1986-05-31
Felix Magath,West Germany,10,MF, (1953-07-26),37,,Hamburger SV,West Germany,1986-05-31
Karl-Heinz Rummenigge (Captain),West Germany,11,FW, (1955-09-25),88,,Internazionale,Italy,1986-05-31
Uli Stein,West Germany,12,GK, (1954-10-23),6,,Hamburger SV,West Germany,1986-05-31
Karl Allgöwer,West Germany,13,MF, (1957-01-05),10,,VfB Stuttgart,West Germany,1986-05-31
Thomas Berthold,West Germany,14,DF, (1964-11-12),12,,Eintracht Frankfurt,West Germany,1986-05-31
Klaus Augenthaler,West Germany,15,DF, (1957-09-26),11,,Bayern Munich,West Germany,1986-05-31
Olaf Thon,West Germany,16,MF, (1966-05-01),10,,Schalke 04,West Germany,1986-05-31
Ditmar Jakobs,West Germany,17,DF, (1953-08-28),14,,Hamburger SV,West Germany,1986-05-31
Uwe Rahn,West Germany,18,MF, (1962-05-21),9,,Borussia Mönchengladbach,West Germany,1986-05-31
Klaus Allofs,West Germany,19,FW, (1956-12-05),40,,1. FC Köln,West Germany,1986-05-31
Dieter Hoeneß,West Germany,20,FW, (1953-01-07),4,,Bayern Munich,West Germany,1986-05-31
Wolfgang Rolff,West Germany,21,MF, (1959-12-26),17,,Hamburger SV,West Germany,1986-05-31
Eike Immel,West Germany,22,GK, (1960-11-27),4,,Borussia Dortmund,West Germany,1986-05-31
