Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Andoni Zubizarreta,Spain,1,GK, (1961-10-23),49,,Barcelona,Spain,1990-06-08
Chendo,Spain,2,DF, (1961-10-12),22,,Real Madrid,Spain,1990-06-08
Manuel Jiménez,Spain,3,DF, (1964-01-21),13,,Sevilla,Spain,1990-06-08
Genar Andrinúa,Spain,4,DF, (1964-05-09),24,,Athletic Bilbao,Spain,1990-06-08
Manolo Sanchís,Spain,5,DF, (1965-05-23),30,,Real Madrid,Spain,1990-06-08
Rafael Martín Vázquez,Spain,6,MF, (1965-09-25),22,,Real Madrid,Spain,1990-06-08
Miguel Pardeza,Spain,7,FW, (1965-02-08),4,,Real Zaragoza,Spain,1990-06-08
Quique Sánchez Flores,Spain,8,DF, (1965-02-02),11,,Valencia,Spain,1990-06-08
Emilio Butragueño (c),Spain,9,FW, (1963-07-22),49,,Real Madrid,Spain,1990-06-08
Fernando,Spain,10,MF, (1965-09-11),2,,Valencia,Spain,1990-06-08
Francisco Villarroya,Spain,11,MF, (1966-08-06),7,,Real Zaragoza,Spain,1990-06-08
Rafael Alkorta,Spain,12,DF, (1968-09-16),1,,Athletic Bilbao,Spain,1990-06-08
Juan Carlos Ablanedo,Spain,13,GK, (1963-09-02),2,,Sporting Gijón,Spain,1990-06-08
Alberto Górriz,Spain,14,DF, (1958-02-16),8,,Real Sociedad,Spain,1990-06-08
Roberto,Spain,15,MF, (1962-07-05),22,,Barcelona,Spain,1990-06-08
José Mari Bakero,Spain,16,MF, (1963-02-11),11,,Barcelona,Spain,1990-06-08
Fernando Hierro,Spain,17,MF, (1968-03-23),2,,Real Madrid,Spain,1990-06-08
Rafael Paz,Spain,18,MF, (1965-08-02),3,,Sevilla,Spain,1990-06-08
Julio Salinas,Spain,19,FW, (1962-09-11),26,,Barcelona,Spain,1990-06-08
Manolo,Spain,20,FW, (1965-01-17),13,,Atlético Madrid,Spain,1990-06-08
Míchel,Spain,21,MF, (1963-03-23),44,,Real Madrid,Spain,1990-06-08
José Manuel Ochotorena,Spain,22,GK, (1961-01-16),1,,Valencia,Spain,1990-06-08
