Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Abdullah Musa,United Arab Emirates,1,GK, (1958-03-02),0,,Al-Ahli,United Arab Emirates,1990-06-08
Khalil Ghanim,United Arab Emirates,2,DF, (1964-11-12),4,,Al Khaleej Club,United Arab Emirates,1990-06-08
Ali Thani Jumaa,United Arab Emirates,3,MF, (1968-08-18),3,,Sharjah,United Arab Emirates,1990-06-08
Mubarak Ghanim,United Arab Emirates,4,DF, (1963-09-03),3,,Al Khaleej Club,United Arab Emirates,1990-06-08
Abdualla Sultan,United Arab Emirates,5,MF, (1963-10-01),4,,Al Khaleej Club,United Arab Emirates,1990-06-08
Abdulrahman Mohamed,United Arab Emirates,6,DF, (1963-10-01),0,,Al-Nasr,United Arab Emirates,1990-06-08
Fahad Khamees (c),United Arab Emirates,7,FW, (1962-01-24),2,,Al-Wasl,United Arab Emirates,1990-06-08
Khalid Ismail,United Arab Emirates,8,MF, (1965-07-07),3,,Al-Nasr,United Arab Emirates,1990-06-08
Abdulaziz Mohamed,United Arab Emirates,9,FW, (1965-12-12),0,,Sharjah,United Arab Emirates,1990-06-08
Adnan Al Talyani,United Arab Emirates,10,FW, (1964-10-30),4,,Al Shaab,United Arab Emirates,1990-06-08
Zuhair Bakheet,United Arab Emirates,11,FW, (1967-07-13),0,,Al-Wasl,United Arab Emirates,1990-06-08
Hussain Ghuloum,United Arab Emirates,12,FW, (1969-09-24),2,,Sharjah,United Arab Emirates,1990-06-08
Hassan Mohamed,United Arab Emirates,13,MF, (1962-08-23),4,,Al-Wasl,United Arab Emirates,1990-06-08
Nasir Khamees,United Arab Emirates,14,MF, (1965-08-02),0,,Al-Wasl,United Arab Emirates,1990-06-08
Ibrahim Meer,United Arab Emirates,15,DF, (1967-07-16),4,,Sharjah,United Arab Emirates,1990-06-08
Mohamed Salim,United Arab Emirates,16,DF, (1968-01-13),2,,Al-Ahli,United Arab Emirates,1990-06-08
Muhsin Musabah,United Arab Emirates,17,GK, (1964-10-01),4,,Sharjah,United Arab Emirates,1990-06-08
Fahad Abdulrahman,United Arab Emirates,18,MF, (1962-10-10),3,,Al-Wasl,United Arab Emirates,1990-06-08
Eissa Meer,United Arab Emirates,19,DF, (1967-07-16),2,,Sharjah,United Arab Emirates,1990-06-08
Yousuf Hussain,United Arab Emirates,20,DF, (1965-07-08),0,,Sharjah,United Arab Emirates,1990-06-08
Abdulrahman Al-Haddad,United Arab Emirates,21,DF, (1966-03-23),0,,Sharjah,United Arab Emirates,1990-06-08
Abdulqadir Hassan,United Arab Emirates,22,GK, (1962-04-15),8,,Al Shabab,United Arab Emirates,1990-06-08
