Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Michel Preud'homme,Belgium,1,GK, (1959-01-24),51,,Mechelen,Belgium,1994-06-17
Dirk Medved,Belgium,2,DF, (1968-06-15),13,,Club Brugge,Belgium,1994-06-17
Vital Borkelmans,Belgium,3,DF, (1963-06-01),19,,Club Brugge,Belgium,1994-06-17
Philippe Albert,Belgium,4,DF, (1967-08-10),30,,Anderlecht,Belgium,1994-06-17
Rudi Smidts,Belgium,5,DF, (1963-08-12),12,,Antwerp,Belgium,1994-06-17
Lorenzo Staelens,Belgium,6,MF, (1964-04-20),19,,Club Brugge,Belgium,1994-06-17
Franky Van Der Elst,Belgium,7,MF, (1961-04-30),61,,Club Brugge,Belgium,1994-06-17
Luc Nilis,Belgium,8,FW, (1967-05-25),25,,Anderlecht,Belgium,1994-06-17
Marc Degryse,Belgium,9,FW, (1965-09-04),48,,Anderlecht,Belgium,1994-06-17
Enzo Scifo,Belgium,10,MF, (1966-02-19),64,,Monaco,France,1994-06-17
Alexandre Czerniatynski,Belgium,11,FW, (1960-07-28),30,,Mechelen,Belgium,1994-06-17
Filip De Wilde,Belgium,12,GK, (1964-07-05),4,,Anderlecht,Belgium,1994-06-17
Georges Grün (c),Belgium,13,DF, (1962-01-25),69,,Parma,Italy,1994-06-17
Michel De Wolf,Belgium,14,DF, (1958-01-19),37,,Anderlecht,Belgium,1994-06-17
Marc Emmers,Belgium,15,MF, (1966-02-25),33,,Anderlecht,Belgium,1994-06-17
Danny Boffin,Belgium,16,MF, (1965-07-10),19,,Anderlecht,Belgium,1994-06-17
Josip Weber,Belgium,17,FW, (1964-11-16),2,,Cercle Brugge,Belgium,1994-06-17
Marc Wilmots,Belgium,18,MF, (1969-02-22),23,,Standard Liège,Belgium,1994-06-17
Eric Van Meir,Belgium,19,DF, (1968-02-28),2,,Charleroi,Belgium,1994-06-17
Dany Verlinden,Belgium,20,GK, (1963-08-15),0,,Club Brugge,Belgium,1994-06-17
Stéphane van der Heyden,Belgium,21,MF, (1969-07-03),3,,Club Brugge,Belgium,1994-06-17
Pascal Renier,Belgium,22,DF, (1971-08-03),1,,Club Brugge,Belgium,1994-06-17
