Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Borislav Mihaylov (c),Bulgaria,1,GK, (1963-02-12),66,,Mulhouse,France,1994-06-17
Emil Kremenliev,Bulgaria,2,DF, (1969-08-13),7,,Levski Sofia,Bulgaria,1994-06-17
Trifon Ivanov,Bulgaria,3,DF, (1965-07-27),39,,Neuchâtel Xamax,Switzerland,1994-06-17
Tsanko Tsvetanov,Bulgaria,4,DF, (1970-01-06),16,,Levski Sofia,Bulgaria,1994-06-17
Petar Hubchev,Bulgaria,5,DF, (1964-02-26),15,,Hamburger SV,Germany,1994-06-17
Zlatko Yankov,Bulgaria,6,MF, (1966-08-07),31,,Levski Sofia,Bulgaria,1994-06-17
Emil Kostadinov,Bulgaria,7,FW, (1967-08-12),32,,Porto,Portugal,1994-06-17
Hristo Stoichkov,Bulgaria,8,FW, (1966-02-08),41,,Barcelona,Spain,1994-06-17
Yordan Letchkov,Bulgaria,9,MF, (1967-07-09),14,,Hamburger SV,Germany,1994-06-17
Nasko Sirakov,Bulgaria,10,FW, (1962-04-26),55,,Levski Sofia,Bulgaria,1994-06-17
Daniel Borimirov,Bulgaria,11,MF, (1970-01-16),9,,Levski Sofia,Bulgaria,1994-06-17
Plamen Nikolov,Bulgaria,12,GK, (1961-08-20),5,,Levski Sofia,Bulgaria,1994-06-17
Ivaylo Yordanov,Bulgaria,13,MF, (1968-04-22),10,,Sporting CP,Portugal,1994-06-17
Boncho Genchev,Bulgaria,14,MF, (1964-07-07),4,,Ipswich Town,England,1994-06-17
Nikolay Iliev,Bulgaria,15,DF, (1964-03-31),48,,Rennes,France,1994-06-17
Iliyan Kiryakov,Bulgaria,16,DF, (1967-08-04),35,,Merida,Spain,1994-06-17
Petar Mihtarski,Bulgaria,17,FW, (1966-07-15),5,,Pirin Blagoevgrad,Bulgaria,1994-06-17
Petar Aleksandrov,Bulgaria,18,FW, (1962-12-07),26,,Levski Sofia,Bulgaria,1994-06-17
Georgi Georgiev,Bulgaria,19,MF, (1963-01-10),10,,Mulhouse,France,1994-06-17
Krasimir Balakov,Bulgaria,20,MF, (1966-03-29),33,,Sporting CP,Portugal,1994-06-17
Velko Yotov,Bulgaria,21,FW, (1970-08-26),6,,Espanyol,Spain,1994-06-17
Ivaylo Andonov,Bulgaria,22,FW, (1967-08-14),5,,CSKA Sofia,Bulgaria,1994-06-17
