Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Joseph-Antoine Bell,Cameroon,1,GK, (1954-10-08),21,,Saint-Étienne,France,1994-06-17
André Kana-Biyik,Cameroon,2,DF, (1965-09-01),41,,Le Havre,France,1994-06-17
Rigobert Song,Cameroon,3,DF, (1976-07-01),3,,Tonnerre Yaounde,Cameroon,1994-06-17
Samuel Ekemé,Cameroon,4,DF, (1966-07-12),2,,Canon Yaounde,Cameroon,1994-06-17
Victor N'Dip,Cameroon,5,DF, (1967-08-18),36,,Olympic Mvolyé,Cameroon,1994-06-17
Thomas Libiih,Cameroon,6,MF, (1967-11-17),20,,Ohud,Saudi Arabia,1994-06-17
François Omam-Biyik,Cameroon,7,FW, (1966-05-21),39,,Lens,France,1994-06-17
Emile M'Bouh,Cameroon,8,MF, (1966-05-30),46,,Nadi Qatar,Qatar,1994-06-17
Roger Milla,Cameroon,9,FW, (1952-05-20),26,,Tonnerre Yaounde,Cameroon,1994-06-17
Louis-Paul M'Fédé,Cameroon,10,FW, (1961-02-26),42,,Canon Yaounde,Cameroon,1994-06-17
Emmanuel Maboang,Cameroon,11,MF, (1968-11-27),12,,Rio Ave,Portugal,1994-06-17
Paul Loga,Cameroon,12,MF, (1969-08-14),16,,Prevoyance Yaounde,Cameroon,1994-06-17
Raymond Kalla,Cameroon,13,DF, (1975-04-22),4,,Canon Yaounde,Cameroon,1994-06-17
Stephen Tataw (c),Cameroon,14,DF, (1963-03-31),46,,Olympic Mvolyé,Cameroon,1994-06-17
Hans Agbo,Cameroon,15,DF, (1967-09-26),18,,Olympic Mvolyé,Cameroon,1994-06-17
Alphonse Tchami,Cameroon,16,FW, (1971-09-14),12,,Odense,Denmark,1994-06-17
Marc-Vivien Foé,Cameroon,17,MF, (1975-05-01),4,,Canon Yaounde,Cameroon,1994-06-17
Jean-Pierre Fiala,Cameroon,18,MF, (1969-04-22),4,,Canon Yaounde,Cameroon,1994-06-17
David Embé,Cameroon,19,FW, (1973-11-13),5,,Belenenses,Portugal,1994-06-17
Georges Mouyémé,Cameroon,20,FW, (1971-04-15),5,,Troyes,France,1994-06-17
Thomas N'Kono,Cameroon,21,GK, (1956-07-20),18,,L'Hospitalet,Spain,1994-06-17
Jacques Songo'o,Cameroon,22,GK, (1964-03-17),16,,Metz,France,1994-06-17
