Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Óscar Córdoba,Colombia,1,GK, (1970-02-03),27,,América de Cali,Colombia,1994-06-17
Andrés Escobar,Colombia,2,DF, (1967-03-13),15,,Atlético Nacional,Colombia,1994-06-17
Alexis Mendoza,Colombia,3,DF, (1961-11-08),7,,Atlético Junior,Colombia,1994-06-17
Luis Herrera,Colombia,4,DF, (1962-06-12),19,,Atlético Nacional,Colombia,1994-06-17
Hermán Gaviria,Colombia,5,MF, (1969-11-27),3,,Atlético Nacional,Colombia,1994-06-17
Gabriel Gómez,Colombia,6,MF, (1959-12-08),15,,Atlético Nacional,Colombia,1994-06-17
Antony de Ávila,Colombia,7,FW, (1962-12-21),13,,América de Cali,Colombia,1994-06-17
John Harold Lozano,Colombia,8,MF, (1972-03-30),7,,América de Cali,Colombia,1994-06-17
Iván Valenciano,Colombia,9,FW, (1972-03-18),4,,Atlético Junior,Colombia,1994-06-17
Carlos Valderrama (c),Colombia,10,MF, (1961-09-02),65,,Atlético Junior,Colombia,1994-06-17
Adolfo Valencia,Colombia,11,FW, (1968-02-06),5,,Bayern Munich,Germany,1994-06-17
Faryd Mondragón,Colombia,12,GK, (1971-06-21),1,,Argentinos Juniors,Argentina,1994-06-17
Néstor Ortiz,Colombia,13,DF, (1968-09-20),?,,Once Caldas,Colombia,1994-06-17
Leonel Álvarez,Colombia,14,MF, (1965-07-29),73,,América de Cali,Colombia,1994-06-17
Luis Carlos Perea,Colombia,15,DF, (1963-12-29),76,,Atlético Junior,Colombia,1994-06-17
Víctor Aristizábal,Colombia,16,FW, (1971-12-09),9,,Atlético Nacional,Colombia,1994-06-17
Mauricio Serna,Colombia,17,MF, (1968-01-22),0,,Atlético Nacional,Colombia,1994-06-17
Óscar Cortés,Colombia,18,DF, (1968-10-19),1,,Millonarios,Colombia,1994-06-17
Freddy Rincón,Colombia,19,MF, (1966-08-14),42,,Palmeiras,Brazil,1994-06-17
Wilson Pérez,Colombia,20,DF, (1967-08-06),9,,América de Cali,Colombia,1994-06-17
Faustino Asprilla,Colombia,21,FW, (1969-11-10),12,,Parma,Italy,1994-06-17
José María Pazo,Colombia,22,GK, (1964-04-04),?,,Atlético Junior,Colombia,1994-06-17
