Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Antonis Minou,Greece,1,GK, (1958-05-04),15,,Apollon Smyrnis,Greece
Stratos Apostolakis,Greece,2,DF, (1964-05-11),60,,Panathinaikos,Greece
Thanasis Kolitsidakis,Greece,3,DF, (1966-11-20),12,,Panathinaikos,Greece
Stelios Manolas,Greece,4,DF, (1961-07-13),70,,AEK Athens,Greece
Ioannis Kalitzakis,Greece,5,DF, (1966-02-10),36,,Panathinaikos,Greece
Panagiotis Tsalouchidis,Greece,6,MF, (1963-03-30),60,,Olympiacos,Greece
Dimitris Saravakos,Greece,7,MF, (1961-07-26),76,,Panathinaikos,Greece
Nikos Nioplias,Greece,8,MF, (1965-01-17),36,,Panathinaikos,Greece
Nikos Machlas,Greece,9,FW, (1973-06-16),12,,OFI Crete,Greece
Tasos Mitropoulos (c),Greece,10,MF, (1957-08-23),74,,AEK Athens,Greece
Nikos Tsiantakis,Greece,11,MF, (1963-10-20),45,,Olympiacos,Greece
Spiros Marangos,Greece,12,MF, (1967-02-20),21,,Panathinaikos,Greece
Vaios Karagiannis,Greece,13,DF, (1968-06-25),6,,AEK Athens,Greece
Vasilis Dimitriadis,Greece,14,FW, (1966-02-01),26,,AEK Athens,Greece
Christos Karkamanis,Greece,15,GK, (1969-09-22),5,,Aris,Greece
Alexis Alexoudis,Greece,16,FW, (1972-06-20),3,,OFI Crete,Greece
Minas Hantzidis,Greece,17,MF, (1966-07-04),7,,Olympiacos,Greece
Kyriakos Karataidis,Greece,18,DF, (1965-07-04),14,,Olympiacos,Greece
Savvas Kofidis,Greece,19,MF, (1961-03-21),64,,Aris,Greece
Elias Atmatsidis,Greece,20,GK, (1969-04-24),4,,AEK Athens,Greece
Alexis Alexandris,Greece,21,FW, (1968-10-21),10,,Olympiacos,Greece
Alexis Alexiou,Greece,22,DF, (1963-09-08),8,,PAOK,Greece
