Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Erik Thorstvedt,Norway,1,GK, (1962-10-28),84,,Tottenham Hotspur,England,1994-06-17
Gunnar Halle,Norway,2,DF, (1965-08-11),44,,Oldham Athletic,England,1994-06-17
Erland Johnsen,Norway,3,DF, (1967-04-05),20,,Chelsea,England,1994-06-17
Rune Bratseth (c),Norway,4,DF, (1961-03-19),57,,Werder Bremen,Germany,1994-06-17
Stig Inge Bjørnebye,Norway,5,DF, (1969-12-11),34,,Liverpool,England,1994-06-17
Jostein Flo,Norway,6,FW, (1964-10-03),23,,Sheffield United,England,1994-06-17
Erik Mykland,Norway,7,MF, (1971-07-21),25,,Start,Norway,1994-06-17
Øyvind Leonhardsen,Norway,8,MF, (1970-08-17),29,,Rosenborg,Norway,1994-06-17
Jan Åge Fjørtoft,Norway,9,FW, (1967-01-10),50,,Swindon Town,England,1994-06-17
Kjetil Rekdal,Norway,10,MF, (1968-11-06),32,,Lierse,Belgium,1994-06-17
Mini Jakobsen,Norway,11,FW, (1965-11-08),44,,Young Boys,Switzerland,1994-06-17
Frode Grodås,Norway,12,GK, (1964-10-24),12,,Lillestrøm,Norway,1994-06-17
Ola By Rise,Norway,13,GK, (1960-11-14),25,,Rosenborg,Norway,1994-06-17
Roger Nilsen,Norway,14,DF, (1969-08-08),20,,Sheffield United,England,1994-06-17
Karl Petter Løken,Norway,15,DF, (1966-08-14),32,,Rosenborg,Norway,1994-06-17
Gøran Sørloth,Norway,16,FW, (1962-07-16),54,,Bursaspor,Turkey,1994-06-17
Dan Eggen,Norway,17,DF, (1970-01-13),2,,Brøndby,Denmark,1994-06-17
Alfie Haaland,Norway,18,DF, (1972-11-23),3,,Nottingham Forest,England,1994-06-17
Roar Strand,Norway,19,MF, (1970-02-02),1,,Rosenborg,Norway,1994-06-17
Henning Berg,Norway,20,DF, (1969-09-01),16,,Blackburn Rovers,England,1994-06-17
Sigurd Rushfeldt,Norway,21,FW, (1972-12-11),1,,Tromsø,Norway,1994-06-17
Lars Bohinen,Norway,22,MF, (1969-09-08),29,,Nottingham Forest,England,1994-06-17
