Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Florin Prunea,Romania,1,GK, (1968-08-08),21,,Dinamo București,Romania,1994-06-17
Dan Petrescu,Romania,2,DF, (1967-12-22),33,,Genoa,Italy,1994-06-17
Daniel Prodan,Romania,3,DF, (1972-03-23),12,,Steaua București,Romania,1994-06-17
Miodrag Belodedici,Romania,4,DF, (1964-05-20),32,,Valencia,Spain,1994-06-17
Ioan Lupescu,Romania,5,MF, (1968-12-09),30,,Bayer Leverkusen,Germany,1994-06-17
Gheorghe Popescu,Romania,6,MF, (1967-10-09),45,,PSV Eindhoven,Netherlands,1994-06-17
Dorinel Munteanu,Romania,7,MF, (1968-06-25),28,,Cercle Brugge,Belgium,1994-06-17
Iulian Chiriță,Romania,8,MF, (1967-02-02),3,,Rapid București,Romania,1994-06-17
Florin Răducioiu,Romania,9,FW, (1970-03-17),25,,Milan,Italy,1994-06-17
Gheorghe Hagi (c),Romania,10,MF, (1965-02-05),81,,Brescia,Italy,1994-06-17
Ilie Dumitrescu,Romania,11,FW, (1969-01-06),38,,Steaua București,Romania,1994-06-17
Bogdan Stelea,Romania,12,GK, (1967-12-05),18,,Rapid București,Romania,1994-06-17
Tibor Selymes,Romania,13,DF, (1970-05-14),11,,Cercle Brugge,Belgium,1994-06-17
Gheorghe Mihali,Romania,14,DF, (1965-12-09),19,,Dinamo București,Romania,1994-06-17
Basarab Panduru,Romania,15,MF, (1970-07-11),11,,Steaua București,Romania,1994-06-17
Ion Vlădoiu,Romania,16,FW, (1968-11-05),6,,Rapid București,Romania,1994-06-17
Viorel Moldovan,Romania,17,FW, (1972-07-08),4,,Dinamo București,Romania,1994-06-17
Constantin Gâlcă,Romania,18,MF, (1972-03-08),7,,Steaua București,Romania,1994-06-17
Corneliu Papură,Romania,19,DF, (1973-09-05),5,,Universitatea Craiova,Romania,1994-06-17
Ovidiu Stîngă,Romania,20,MF, (1972-12-05),9,,Universitatea Craiova,Romania,1994-06-17
Marian Ivan,Romania,21,FW, (1969-01-06),3,,Brașov,Romania,1994-06-17
Ștefan Preda,Romania,22,GK, (1970-06-18),1,,Petrolul Ploiești,Romania,1994-06-17
