Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Zdravko Zdravkov,Bulgaria,1,GK, (1970-10-04),16,,Istanbulspor,Turkey
Radostin Kishishev,Bulgaria,2,DF, (1974-07-30),22,,Litex Lovech,Bulgaria
Trifon Ivanov (captain),Bulgaria,3,DF, (1965-07-27),72,,CSKA Sofia,Bulgaria
Ivaylo Petkov,Bulgaria,4,DF, (1976-03-24),10,,Litex Lovech,Bulgaria
Ivaylo Yordanov,Bulgaria,5,MF, (1968-04-22),38,,Sporting CP,Portugal
Zlatko Yankov,Bulgaria,6,MF, (1966-06-07),67,,Beşiktaş,Turkey
Emil Kostadinov,Bulgaria,7,FW, (1967-08-12),67,,CSKA Sofia,Bulgaria
Hristo Stoichkov,Bulgaria,8,FW, (1966-02-08),70,,Barcelona,Spain
Lyuboslav Penev,Bulgaria,9,FW, (1966-08-31),58,,Compostela,Spain
Krasimir Balakov,Bulgaria,10,MF, (1966-03-29),66,,VfB Stuttgart,Germany
Ilian Iliev,Bulgaria,11,MF, (1968-07-02),15,,Bursaspor,Turkey
Borislav Mihaylov,Bulgaria,12,GK, (1963-02-12),96,,Slavia Sofia,Bulgaria
Gosho Ginchev,Bulgaria,13,DF, (1969-12-02),15,,Antalyaspor,Turkey
Marian Hristov,Bulgaria,14,MF, (1973-07-29),9,,1. FC Kaiserslautern,Germany
Adalbert Zafirov,Bulgaria,15,DF, (1969-09-29),6,,Arminia Bielefeld,Germany
Anatoli Nankov,Bulgaria,16,MF, (1969-07-15),15,,Lokomotiv Sofia,Bulgaria
Stoycho Stoilov,Bulgaria,17,MF, (1971-10-15),1,,Litex Lovech,Bulgaria
Daniel Borimirov,Bulgaria,18,MF, (1970-01-15),36,,1860 Munich,Germany
Georgi Bachev,Bulgaria,19,FW, (1977-04-18),4,,Slavia Sofia,Bulgaria
Georgi Ivanov,Bulgaria,20,FW, (1976-07-02),4,,Levski Sofia,Bulgaria
Rosen Kirilov,Bulgaria,21,DF, (1973-01-04),3,,Litex Lovech,Bulgaria
Milen Petkov,Bulgaria,22,MF, (1974-01-12),5,,CSKA Sofia,Bulgaria
