Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Peter Schmeichel,Denmark,1,GK, (1963-11-18),100,,Manchester United,England,1998-06-10
Michael Schjønberg,Denmark,2,DF, (1967-01-19),28,,1. FC Kaiserslautern,Germany,1998-06-10
Marc Rieper,Denmark,3,DF, (1968-06-05),53,,Celtic,Scotland,1998-06-10
Jes Høgh,Denmark,4,DF, (1966-05-07),37,,Fenerbahçe,Turkey,1998-06-10
Jan Heintze,Denmark,5,DF, (1963-08-17),39,,Bayer Leverkusen,Germany,1998-06-10
Thomas Helveg,Denmark,6,DF, (1971-06-24),30,,Udinese,Italy,1998-06-10
Allan Nielsen,Denmark,7,MF, (1971-03-13),18,,Tottenham Hotspur,England,1998-06-10
Per Frandsen,Denmark,8,MF, (1970-02-06),12,,Bolton Wanderers,England,1998-06-10
Miklos Molnar,Denmark,9,FW, (1970-04-10),9,,Sevilla,Spain,1998-06-10
Michael Laudrup (captain),Denmark,10,MF, (1964-06-15),99,,Ajax,Netherlands,1998-06-10
Brian Laudrup,Denmark,11,FW, (1969-02-22),77,,Rangers,Scotland,1998-06-10
Søren Colding,Denmark,12,DF, (1972-09-02),4,,Brøndby,Denmark,1998-06-10
Jacob Laursen,Denmark,13,DF, (1971-10-06),22,,Derby County,England,1998-06-10
Morten Wieghorst,Denmark,14,MF, (1971-02-25),11,,Celtic,Scotland,1998-06-10
Stig Tøfting,Denmark,15,MF, (1969-08-14),4,,MSV Duisburg,Germany,1998-06-10
Mogens Krogh,Denmark,16,GK, (1963-10-31),8,,Brøndby,Denmark,1998-06-10
Bjarne Goldbæk,Denmark,17,MF, (1968-10-06),11,,Copenhagen,Denmark,1998-06-10
Peter Møller,Denmark,18,FW, (1972-03-23),11,,PSV Eindhoven,Netherlands,1998-06-10
Ebbe Sand,Denmark,19,FW, (1972-07-19),2,,Brøndby,Denmark,1998-06-10
René Henriksen,Denmark,20,DF, (1969-08-27),2,,Akademisk,Denmark,1998-06-10
Martin Jørgensen,Denmark,21,MF, (1975-10-06),4,,Udinese,Italy,1998-06-10
Peter Kjær,Denmark,22,GK, (1965-11-05),0,,Silkeborg,Denmark,1998-06-10
