Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ivica Kralj,FR Yugoslavia,1,GK, (1973-03-26),15,,Partizan,Federal Republic of Yugoslavia,1998-06-10
Zoran Mirković,FR Yugoslavia,2,DF, (1971-09-21),28,,Atalanta,Italy,1998-06-10
Goran Đorović,FR Yugoslavia,3,DF, (1971-11-11),26,,Celta Vigo,Spain,1998-06-10
Slaviša Jokanović,FR Yugoslavia,4,MF, (1968-08-16),33,,Tenerife,Spain,1998-06-10
Miroslav Đukić,FR Yugoslavia,5,DF, (1966-02-19),23,,Valencia,Spain,1998-06-10
Branko Brnović,FR Yugoslavia,6,MF, (1967-08-08),22,,Espanyol,Spain,1998-06-10
Vladimir Jugović,FR Yugoslavia,7,MF, (1969-08-30),24,,Lazio,Italy,1998-06-10
Dejan Savićević,FR Yugoslavia,8,MF, (1966-09-15),49,,Milan,Italy,1998-06-10
Predrag Mijatović,FR Yugoslavia,9,FW, (1969-01-19),28,,Real Madrid,Spain,1998-06-10
Dragan Stojković (captain),FR Yugoslavia,10,MF, (1965-03-03),64,,Nagoya Grampus Eight,Japan,1998-06-10
Siniša Mihajlović,FR Yugoslavia,11,DF, (1969-02-20),30,,Sampdoria,Italy,1998-06-10
Dragoje Leković,FR Yugoslavia,12,GK, (1967-11-21),13,,Sporting Gijón,Spain,1998-06-10
Slobodan Komljenović,FR Yugoslavia,13,DF, (1971-01-02),8,,MSV Duisburg,Germany,1998-06-10
Niša Saveljić,FR Yugoslavia,14,DF, (1970-02-23),20,,Bordeaux,France,1998-06-10
Ljubinko Drulović,FR Yugoslavia,15,MF, (1968-09-11),16,,Porto,Portugal,1998-06-10
Željko Petrović,FR Yugoslavia,16,DF, (1965-11-13),12,,Urawa Red Diamonds,Japan,1998-06-10
Savo Milošević,FR Yugoslavia,17,FW, (1973-09-02),28,,Aston Villa,England,1998-06-10
Dejan Govedarica,FR Yugoslavia,18,MF, (1969-10-02),20,,Lecce,Italy,1998-06-10
Miroslav Stević,FR Yugoslavia,19,MF, (1970-01-07),5,,1860 Munich,Germany,1998-06-10
Dejan Stanković,FR Yugoslavia,20,MF, (1978-09-11),3,,Red Star Belgrade,Federal Republic of Yugoslavia,1998-06-10
Perica Ognjenović,FR Yugoslavia,21,FW, (1977-02-24),5,,Red Star Belgrade,Federal Republic of Yugoslavia,1998-06-10
Darko Kovačević,FR Yugoslavia,22,FW, (1973-11-18),19,,Real Sociedad,Spain,1998-06-10
