Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Warren Barrett (captain),Jamaica,1,GK, (1970-07-09),128,,Violet Kickers,Jamaica,1998-06-10
Stephen Malcolm,Jamaica,2,DF, (1970-05-02),62,,Seba United,Jamaica,1998-06-10
Chris Dawes,Jamaica,3,MF, (1974-05-31),20,,Galaxy,Jamaica,1998-06-10
Linval Dixon,Jamaica,4,DF, (1971-09-14),104,,Hazard United,Jamaica,1998-06-10
Ian Goodison,Jamaica,5,DF, (1972-11-21),55,,Olympic Gardens,Jamaica,1998-06-10
Fitzroy Simpson,Jamaica,6,MF, (1970-02-26),23,,Portsmouth,England,1998-06-10
Peter Cargill,Jamaica,7,MF, (1964-03-02),76,,Harbour View,Jamaica,1998-06-10
Marcus Gayle,Jamaica,8,FW, (1970-09-27),5,,Wimbledon,England,1998-06-10
Andy Williams,Jamaica,9,FW, (1977-09-23),25,,Columbus Crew,United States,1998-06-10
Walter Boyd,Jamaica,10,FW, (1972-01-01),57,,Arnett Gardens,Jamaica,1998-06-10
Theodore Whitmore,Jamaica,11,MF, (1972-08-05),76,,Seba United,Jamaica,1998-06-10
Dean Sewell,Jamaica,12,DF, (1972-04-13),4,,Constant Spring,Jamaica,1998-06-10
Aaron Lawrence,Jamaica,13,GK, (1970-08-11),17,,Reno,Jamaica,1998-06-10
Donovan Ricketts,Jamaica,14,GK, (1977-06-07),0,,Wadadah,Jamaica,1998-06-10
Ricardo Gardner,Jamaica,15,DF, (1978-09-25),34,,Harbour View,Jamaica,1998-06-10
Robbie Earle,Jamaica,16,MF, (1965-01-27),8,,Wimbledon,England,1998-06-10
Onandi Lowe,Jamaica,17,FW, (1973-12-02),30,,Harbour View,Jamaica,1998-06-10
Deon Burton,Jamaica,18,FW, (1976-10-25),18,,Derby County,England,1998-06-10
Frank Sinclair,Jamaica,19,DF, (1971-12-03),5,,Chelsea,England,1998-06-10
Darryl Powell,Jamaica,20,MF, (1971-11-15),2,,Derby County,England,1998-06-10
Durrant Brown,Jamaica,21,DF, (1964-07-08),125,,Wadadah,Jamaica,1998-06-10
Paul Hall,Jamaica,22,FW, (1972-07-03),23,,Portsmouth,England,1998-06-10
