Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jorge Campos,Mexico,1,GK, (1966-10-15),106,,Chicago Fire,United States,1998-06-10
Claudio Suárez,Mexico,2,DF, (1968-12-17),121,,Guadalajara,Mexico,1998-06-10
Joel Sánchez,Mexico,3,DF, (1974-08-17),20,,Guadalajara,Mexico,1998-06-10
Germán Villa,Mexico,4,MF, (1973-04-02),36,,América,Mexico,1998-06-10
Duilio Davino,Mexico,5,DF, (1976-03-21),48,,América,Mexico,1998-06-10
Marcelino Bernal,Mexico,6,MF, (1962-05-27),72,,Monterrey,Mexico,1998-06-10
Jesús Ramón Ramírez,Mexico,7,MF, (1969-12-05),92,,Guadalajara,Mexico,1998-06-10
Alberto García Aspe (captain),Mexico,8,MF, (1967-05-11),82,,América,Mexico,1998-06-10
Ricardo Peláez,Mexico,9,FW, (1963-03-14),41,,América,Mexico,1998-06-10
Luis García Postigo,Mexico,10,FW, (1969-06-01),89,,Atlante,Mexico,1998-06-10
Cuauhtémoc Blanco,Mexico,11,FW, (1973-01-17),42,,Necaxa,Mexico,1998-06-10
Oswaldo Sánchez,Mexico,12,GK, (1973-09-21),9,,América,Mexico,1998-06-10
Pável Pardo,Mexico,13,MF, (1976-07-26),43,,Atlas,Mexico,1998-06-10
Raúl Lara,Mexico,14,MF, (1973-02-28),24,,América,Mexico,1998-06-10
Luis Hernández,Mexico,15,FW, (1968-12-22),46,,Necaxa,Mexico,1998-06-10
Isaac Terrazas,Mexico,16,DF, (1975-04-17),7,,América,Mexico,1998-06-10
Francisco Palencia,Mexico,17,FW, (1973-04-28),27,,Cruz Azul,Mexico,1998-06-10
Salvador Carmona,Mexico,18,DF, (1975-08-22),16,,Toluca,Mexico,1998-06-10
Braulio Luna,Mexico,19,MF, (1974-09-08),15,,UNAM,Mexico,1998-06-10
Jaime Ordiales,Mexico,20,MF, (1963-12-23),21,,Toluca,Mexico,1998-06-10
Jesús Arellano,Mexico,21,MF, (1973-05-08),7,,Guadalajara,Mexico,1998-06-10
Óscar Pérez,Mexico,22,GK, (1973-02-01),8,,Cruz Azul,Mexico,1998-06-10
