Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Hans Vonk,South Africa,1,GK, (1970-01-30),0,,Heerenveen,Netherlands,1998-06-10
Themba Mnguni,South Africa,2,DF, (1973-12-16),3,,Mamelodi Sundowns,South Africa,1998-06-10
David Nyathi,South Africa,3,DF, (1969-03-22),35,,St. Gallen,Switzerland,1998-06-10
Willem Jackson,South Africa,4,DF, (1972-03-26),12,,Orlando Pirates,South Africa,1998-06-10
Mark Fish,South Africa,5,DF, (1974-03-14),37,,Bolton Wanderers,England,1998-06-10
Phil Masinga,South Africa,6,FW, (1969-06-28),41,,Bari,Italy,1998-06-10
Quinton Fortune,South Africa,7,MF, (1977-05-21),6,,Atlético Madrid,Spain,1998-06-10
Alfred Phiri,South Africa,8,MF, (1974-06-22),2,,Vanspor,Turkey,1998-06-10
Shaun Bartlett,South Africa,9,FW, (1972-10-31),29,,Cape Town Spurs,South Africa,1998-06-10
John Moshoeu,South Africa,10,MF, (1965-12-18),44,,Fenerbahçe,Turkey,1998-06-10
Helman Mkhalele,South Africa,11,MF, (1969-10-20),35,,Kayserispor,Turkey,1998-06-10
Brendan Augustine,South Africa,12,FW, (1971-10-26),26,,LASK,Austria,1998-06-10
Delron Buckley,South Africa,13,FW, (1977-12-07),0,,VfL Bochum,Germany,1998-06-10
Jerry Sikhosana,South Africa,14,FW, (1969-06-08),9,,Orlando Pirates,South Africa,1998-06-10
Doctor Khumalo,South Africa,15,MF, (1967-06-26),43,,Kaizer Chiefs,South Africa,1998-06-10
Brian Baloyi,South Africa,16,GK, (1974-03-16),8,,Kaizer Chiefs,South Africa,1998-06-10
Benni McCarthy,South Africa,17,FW, (1977-11-12),10,,Ajax,Netherlands,1998-06-10
Lebogang Morula,South Africa,18,MF, (1968-12-22),0,,Vanspor,Turkey,1998-06-10
Lucas Radebe (captain),South Africa,19,DF, (1969-04-12),41,,Leeds United,England,1998-06-10
William Mokoena,South Africa,20,MF, (1975-03-31),0,,Manning Rangers,South Africa,1998-06-10
Pierre Issa,South Africa,21,DF, (1975-09-12),1,,Marseille,France,1998-06-10
Paul Evans*,South Africa,22,GK, (1973-12-28),0,,Supersport United,South Africa,1998-06-10
Simon Gopane*,South Africa,23,GK, (1970-12-26),1,,Bloemfontein Celtic,South Africa,1998-06-10
