Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
An Qi,China PR,1,GK, (1981-06-21),5,,Dalian Shide,China,2002-05-31
Zhang Enhua,China PR,2,DF, (1973-04-28),65,,Dalian Shide,China,2002-05-31
Yang Pu,China PR,3,DF, (1978-03-30),14,,Beijing Guoan,China,2002-05-31
Wu Chengying,China PR,4,DF, (1975-04-21),53,,Shanghai Shenhua,China,2002-05-31
Fan Zhiyi,China PR,5,DF, (1969-11-06),105,,Dundee,Scotland,2002-05-31
Shao Jiayi,China PR,6,MF, (1980-04-10),18,,Beijing Guoan,China,2002-05-31
Sun Jihai,China PR,7,DF, (1977-09-30),59,,Manchester City,England,2002-05-31
Li Tie,China PR,8,MF, (1977-05-18),76,,Liaoning,China,2002-05-31
Ma Mingyu (c),China PR,9,MF, (1970-02-04),91,,Sichuan First City,China,2002-05-31
Hao Haidong,China PR,10,FW, (1970-05-09),95,,Dalian Shide,China,2002-05-31
Yu Genwei,China PR,11,MF, (1974-01-07),17,,Tianjin Teda,China,2002-05-31
Su Maozhen,China PR,12,FW, (1972-07-30),43,,Shandong Luneng,China,2002-05-31
Gao Yao,China PR,13,MF, (1977-07-13),4,,Shandong Luneng,China,2002-05-31
Li Weifeng,China PR,14,DF, (1978-12-01),55,,Shenzhen Pingan,China,2002-05-31
Zhao Junzhe,China PR,15,MF, (1979-04-18),13,,Liaoning,China,2002-05-31
Qu Bo,China PR,16,FW, (1981-07-15),16,,Qingdao Etsong Hainiu,China,2002-05-31
Du Wei,China PR,17,DF, (1982-02-09),7,,Shanghai Shenhua,China,2002-05-31
Li Xiaopeng,China PR,18,MF, (1975-06-20),26,,Shandong Luneng,China,2002-05-31
Qi Hong,China PR,19,MF, (1976-06-03),36,,Shanghai COSCO Huili,China,2002-05-31
Yang Chen,China PR,20,FW, (1974-01-17),26,,Eintracht Frankfurt,Germany,2002-05-31
Xu Yunlong,China PR,21,DF, (1979-02-17),20,,Beijing Guoan,China,2002-05-31
Jiang Jin,China PR,22,GK, (1968-10-07),52,,Tianjin Teda,China,2002-05-31
Ou Chuliang,China PR,23,GK, (1968-08-26),74,,Yunnan Hongta,China,2002-05-31
