Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
José Francisco Cevallos,Ecuador,1,GK, (1971-04-17),62,,Barcelona SC,Ecuador
Augusto Porozo,Ecuador,2,DF, (1974-04-13),26,,Emelec,Ecuador
Iván Hurtado,Ecuador,3,DF, (1974-08-16),90,,Barcelona SC,Ecuador
Ulises de la Cruz,Ecuador,4,DF, (1974-02-08),52,,Hibernian,Scotland
Alfonso Obregón,Ecuador,5,MF, (1972-05-12),40,,LDU Quito,Ecuador
Raúl Guerrón,Ecuador,6,DF, (1976-10-12),23,,Deportivo Quito,Ecuador
Nicolás Asencio,Ecuador,7,FW, (1975-04-26),4,,Barcelona SC,Ecuador
Luis Gómez,Ecuador,8,MF, (1972-04-20),8,,Barcelona SC,Ecuador
Iván Kaviedes,Ecuador,9,FW, (1977-10-24),26,,Barcelona SC,Ecuador
Álex Aguinaga (c),Ecuador,10,MF, (1968-07-09),92,,Necaxa,Mexico
Agustín Delgado,Ecuador,11,FW, (1974-12-23),46,,Southampton,England
Oswaldo Ibarra,Ecuador,12,GK, (1969-09-08),21,,El Nacional,Ecuador
Ángel Fernández,Ecuador,13,FW, (1971-08-02),68,,El Nacional,Ecuador
Juan Carlos Burbano,Ecuador,14,MF, (1969-02-15),18,,El Nacional,Ecuador
Marlon Ayoví,Ecuador,15,DF, (1971-09-27),26,,Deportivo Quito,Ecuador
Cléber Chalá,Ecuador,16,MF, (1971-06-29),64,,El Nacional,Ecuador
Giovanny Espinoza,Ecuador,17,DF, (1977-04-12),19,,Aucas,Ecuador
Carlos Tenorio,Ecuador,18,FW, (1979-05-14),9,,LDU Quito,Ecuador
Édison Méndez,Ecuador,19,FW, (1979-03-16),24,,Deportivo Quito,Ecuador
Edwin Tenorio,Ecuador,20,MF, (1976-06-16),33,,Barcelona SC,Ecuador
Wellington Sánchez,Ecuador,21,MF, (1974-06-19),35,,Emelec,Ecuador
Daniel Viteri,Ecuador,22,GK, (1981-12-12),0,,Emelec,Ecuador
Walter Ayoví,Ecuador,23,DF, (1979-08-11),2,,Emelec,Ecuador
