Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ike Shorunmu,Nigeria,1,GK, (1967-10-16),34,,Lucerne,Switzerland,2002-05-31
Joseph Yobo,Nigeria,2,DF, (1980-09-06),14,,Marseille,France,2002-05-31
Celestine Babayaro,Nigeria,3,DF, (1978-08-29),24,,Chelsea,England,2002-05-31
Nwankwo Kanu,Nigeria,4,FW, (1976-08-01),33,,Arsenal,England,2002-05-31
Isaac Okoronkwo,Nigeria,5,DF, (1978-05-01),12,,Shakhtar Donetsk,Ukraine,2002-05-31
Taribo West,Nigeria,6,DF, (1974-03-26),38,,1. FC Kaiserslautern,Germany,2002-05-31
Pius Ikedia,Nigeria,7,MF, (1980-07-11),9,,Ajax,Netherlands,2002-05-31
Mutiu Adepoju,Nigeria,8,MF, (1970-12-22),49,,Salamanca,Spain,2002-05-31
Bartholomew Ogbeche,Nigeria,9,FW, (1984-10-01),4,,Paris Saint-Germain,France,2002-05-31
Jay-Jay Okocha (c),Nigeria,10,MF, (1973-08-14),56,,Paris Saint-Germain,France,2002-05-31
Garba Lawal,Nigeria,11,MF, (1974-05-22),34,,Roda JC,Netherlands,2002-05-31
Austin Ejide,Nigeria,12,GK, (1984-04-08),3,,Gabros International,Nigeria,2002-05-31
Rabiu Afolabi,Nigeria,13,DF, (1980-04-18),5,,Standard Liège,Belgium,2002-05-31
Ifeanyi Udeze,Nigeria,14,DF, (1980-07-21),15,,PAOK,Greece,2002-05-31
Justice Christopher,Nigeria,15,MF, (1981-12-24),7,,Antwerp,Belgium,2002-05-31
Efe Sodje,Nigeria,16,DF, (1972-10-05),7,,Crewe Alexandra,England,2002-05-31
Julius Aghahowa,Nigeria,17,FW, (1982-02-12),17,,Shakhtar Donetsk,Ukraine,2002-05-31
Benedict Akwuegbu,Nigeria,18,FW, (1974-11-03),16,,Shenyang Haishi,China,2002-05-31
Eric Ejiofor,Nigeria,19,DF, (1979-07-21),12,,Maccabi Haifa,Israel,2002-05-31
James Obiorah,Nigeria,20,MF, (1978-08-24),2,,Lokomotiv Moscow,Russia,2002-05-31
John Utaka,Nigeria,21,MF, (1982-01-08),4,,Al Sadd,Qatar,2002-05-31
Vincent Enyeama,Nigeria,22,GK, (1982-08-29),2,,Enyimba,Nigeria,2002-05-31
Femi Opabunmi,Nigeria,23,MF, (1985-03-03),2,,Ibadan,Nigeria,2002-05-31
