Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Tony Sylva,Senegal,1,GK, (1975-05-17),15,,Monaco,France
Omar Daf,Senegal,2,DF, (1977-02-12),31,,Sochaux,France
Pape Sarr,Senegal,3,MF, (1977-12-07),22,,Lens,France
Pape Malick Diop,Senegal,4,DF, (1974-12-29),25,,Lorient,France
Alassane N'Dour,Senegal,5,DF, (1981-12-12),7,,Saint-Étienne,France
Aliou Cissé (c),Senegal,6,DF, (1976-03-24),20,,Montpellier,France
Henri Camara,Senegal,7,FW, (1977-05-10),34,,Sedan,France
Amara Traoré,Senegal,8,FW, (1965-09-25),12,,Gueugnon,France
Souleymane Camara,Senegal,9,FW, (1982-12-22),9,,Monaco,France
Khalilou Fadiga,Senegal,10,MF, (1974-12-30),25,,Auxerre,France
El Hadji Diouf,Senegal,11,FW, (1981-01-15),21,,Lens,France
Amdy Faye,Senegal,12,MF, (1977-03-12),6,,Auxerre,France
Lamine Diatta,Senegal,13,DF, (1975-07-02),19,,Rennes,France
Moussa N'Diaye,Senegal,14,MF, (1979-02-20),38,,Sedan,France
Salif Diao,Senegal,15,MF, (1977-02-10),20,,Sedan,France
Omar Diallo,Senegal,16,GK, (1972-09-28),42,,Olympique Khouribga,Morocco
Ferdinand Coly,Senegal,17,DF, (1973-09-10),16,,Lens,France
Pape Thiaw,Senegal,18,FW, (1981-02-05),13,,Strasbourg,France
Papa Bouba Diop,Senegal,19,MF, (1978-01-28),12,,Lens,France
Sylvain N'Diaye,Senegal,20,MF, (1976-06-25),6,,Lille,France
Habib Beye,Senegal,21,DF, (1977-10-19),6,,Strasbourg,France
Kalidou Cissokho,Senegal,22,GK, (1978-08-28),0,,ASC Jeanne d'Arc,Senegal
Makhtar N'Diaye,Senegal,23,MF, (1981-12-31),11,,Rennes,France
