Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Lee Woon-jae,South Korea,1,GK, (1973-04-26),31,,Suwon Samsung Bluewings,South Korea
Hyun Young-min,South Korea,2,DF, (1979-12-25),8,,Ulsan Hyundai Horangi,South Korea
Choi Sung-yong,South Korea,3,MF, (1975-12-25),60,,Suwon Samsung Bluewings,South Korea
Choi Jin-cheul,South Korea,4,DF, (1971-03-26),15,,Jeonbuk Hyundai Motors,South Korea
Kim Nam-il,South Korea,5,MF, (1977-03-14),23,,Jeonnam Dragons,South Korea
Yoo Sang-chul,South Korea,6,DF, (1971-10-18),93,,Kashiwa Reysol,Japan
Kim Tae-young,South Korea,7,DF, (1970-11-08),78,,Jeonnam Dragons,South Korea
Choi Tae-uk,South Korea,8,FW, (1981-03-13),16,,Anyang LG Cheetahs,South Korea
Seol Ki-hyeon,South Korea,9,FW, (1979-01-08),31,,Anderlecht,Belgium
Lee Young-pyo,South Korea,10,DF, (1977-04-23),51,,Anyang LG Cheetahs,South Korea
Choi Yong-soo,South Korea,11,FW, (1973-09-10),58,,JEF United Ichihara,Japan
Kim Byung-ji,South Korea,12,GK, (1970-04-08),58,,Pohang Steelers,South Korea
Lee Eul-yong,South Korea,13,MF, (1975-09-08),19,,Bucheon SK,South Korea
Lee Chun-soo,South Korea,14,FW, (1981-07-09),22,,Ulsan Hyundai Horangi,South Korea
Lee Min-sung,South Korea,15,DF, (1973-06-23),52,,Busan I'Cons,South Korea
Cha Du-ri,South Korea,16,FW, (1980-07-25),12,,Korea University,South Korea
Yoon Jong-hwan,South Korea,17,MF, (1973-02-16),36,,Cerezo Osaka,Japan
Hwang Sun-hong,South Korea,18,FW, (1968-07-14),97,,Kashiwa Reysol,Japan
Ahn Jung-hwan,South Korea,19,FW, (1976-01-27),19,,Perugia,Italy
Hong Myung-bo (c),South Korea,20,DF, (1969-02-12),128,,Pohang Steelers,South Korea
Park Ji-sung,South Korea,21,MF, (1981-02-25),33,,Kyoto Purple Sanga,Japan
Song Chong-gug,South Korea,22,MF, (1979-02-20),27,,Busan I'Cons,South Korea
Choi Eun-sung,South Korea,23,GK, (1971-04-05),1,,Daejeon Citizen,South Korea
