Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Magnus Hedman,Sweden,1,GK, (1973-03-19),44,,Coventry City,England,2002-05-31
Olof Mellberg,Sweden,2,DF, (1977-09-03),21,,Aston Villa,England,2002-05-31
Patrik Andersson (c),Sweden,3,DF, (1971-08-18),95,,Barcelona,Spain,2002-05-31
Johan Mjällby,Sweden,4,DF, (1971-02-09),35,,Celtic,Scotland,2002-05-31
Michael Svensson,Sweden,5,DF, (1975-11-25),11,,Troyes,France,2002-05-31
Tobias Linderoth,Sweden,6,MF, (1979-04-21),19,,Everton,England,2002-05-31
Niclas Alexandersson,Sweden,7,MF, (1971-12-29),58,,Everton,England,2002-05-31
Anders Svensson,Sweden,8,MF, (1976-07-17),24,,Southampton,England,2002-05-31
Freddie Ljungberg,Sweden,9,MF, (1977-04-16),31,,Arsenal,England,2002-05-31
Marcus Allbäck,Sweden,10,FW, (1973-07-05),18,,Heerenveen,Netherlands,2002-05-31
Henrik Larsson,Sweden,11,FW, (1971-09-20),67,,Celtic,Scotland,2002-05-31
Magnus Kihlstedt,Sweden,12,GK, (1972-02-29),12,,Copenhagen,Denmark,2002-05-31
Tomas Antonelius,Sweden,13,DF, (1973-05-07),6,,Copenhagen,Denmark,2002-05-31
Erik Edman,Sweden,14,DF, (1978-11-11),5,,Heerenveen,Netherlands,2002-05-31
Andreas Jakobsson,Sweden,15,DF, (1972-10-06),12,,Hansa Rostock,Germany,2002-05-31
Teddy Lučić,Sweden,16,DF, (1973-04-15),41,,AIK,Sweden,2002-05-31
Magnus Svensson,Sweden,17,MF, (1969-03-10),24,,Brøndby,Denmark,2002-05-31
Mattias Jonson,Sweden,18,MF, (1974-01-16),23,,Brøndby,Denmark,2002-05-31
Pontus Farnerud,Sweden,19,MF, (1980-06-04),2,,Monaco,France,2002-05-31
Daniel Andersson,Sweden,20,MF, (1977-08-28),38,,Venezia,Italy,2002-05-31
Zlatan Ibrahimović,Sweden,21,FW, (1981-10-03),9,,Ajax,Netherlands,2002-05-31
Andreas Andersson,Sweden,22,FW, (1974-04-10),32,,AIK,Sweden,2002-05-31
Andreas Isaksson,Sweden,23,GK, (1981-10-03),1,,Djurgården,Sweden,2002-05-31
