Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Rüştü Reçber,Turkey,1,GK, (1973-05-10),64,,Fenerbahçe,Turkey
Emre Aşık,Turkey,2,DF, (1973-12-13),16,,Galatasaray,Turkey
Bülent Korkmaz,Turkey,3,DF, (1968-11-24),68,,Galatasaray,Turkey
Fatih Akyel,Turkey,4,DF, (1977-12-26),36,,Fenerbahçe,Turkey
Alpay Özalan,Turkey,5,DF, (1973-05-29),62,,Aston Villa,England
Arif Erdem,Turkey,6,FW, (1972-01-02),50,,Galatasaray,Turkey
Okan Buruk,Turkey,7,MF, (1973-10-19),26,,Inter Milan,Italy
Tugay Kerimoğlu,Turkey,8,MF, (1970-08-24),69,,Blackburn Rovers,England
Hakan Şükür (c),Turkey,9,FW, (1971-09-01),73,,Parma,Italy
Yıldıray Baştürk,Turkey,10,MF, (1978-12-24),13,,Bayer Leverkusen,Germany
Hasan Şaş,Turkey,11,FW, (1976-08-01),14,,Galatasaray,Turkey
Ömer Çatkıç,Turkey,12,GK, (1974-10-15),6,,Gaziantepspor,Turkey
Muzzy Izzet,Turkey,13,MF, (1974-10-31),7,,Leicester City,England
Tayfur Havutçu,Turkey,14,MF, (1970-04-23),39,,Beşiktaş,Turkey
Nihat Kahveci,Turkey,15,FW, (1979-11-23),11,,Real Sociedad,Spain
Ümit Özat,Turkey,16,DF, (1976-10-30),14,,Fenerbahçe,Turkey
İlhan Mansız,Turkey,17,FW, (1975-08-10),6,,Beşiktaş,Turkey
Ergün Penbe,Turkey,18,MF, (1972-05-17),21,,Galatasaray,Turkey
Abdullah Ercan,Turkey,19,MF, (1971-12-08),70,,Fenerbahçe,Turkey
Hakan Ünsal,Turkey,20,DF, (1973-05-14),25,,Blackburn Rovers,England
Emre Belözoğlu,Turkey,21,MF, (1980-09-07),11,,Inter Milan,Italy
Ümit Davala,Turkey,22,MF, (1973-07-30),24,,Milan,Italy
Zafer Özgültekin,Turkey,23,GK, (1975-03-10),1,,Ankaragücü,Turkey
