Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
João Ricardo,Angola,1,GK, (1970-01-07),26,,Moreirense[33],Portugal,2006-06-09
Marco Airosa,Angola,2,DF, (1984-08-06),2,,Barreirense,Portugal,2006-06-09
Jamba,Angola,3,DF, (1977-07-10),35,,ASA,Angola,2006-06-09
Lebo Lebo,Angola,4,DF, (1977-05-29),15,,Petro Atlético,Angola,2006-06-09
Kali,Angola,5,DF, (1978-10-11),21,,Barreirense,Portugal,2006-06-09
Miloy,Angola,6,MF, (1981-05-27),11,,Interclube,Angola,2006-06-09
Paulo Figueiredo,Angola,7,MF, (1972-11-28),22,,Varzim,Portugal,2006-06-09
André Macanga,Angola,8,MF, (1978-05-14),33,,Al-Salmiya,Kuwait,2006-06-09
Mantorras,Angola,9,FW, (1982-03-18),11,,Benfica,Portugal,2006-06-09
Akwá (c),Angola,10,FW, (1977-05-30),77,,Al-Wakrah[34],Qatar,2006-06-09
Mateus,Angola,11,FW, (1984-06-19),4,,Gil Vicente,Portugal,2006-06-09
Lamá,Angola,12,GK, (1981-02-01),9,,Petro Atlético,Angola,2006-06-09
Edson Nobre,Angola,13,MF, (1980-02-03),7,,Paços de Ferreira,Portugal,2006-06-09
Mendonça,Angola,14,MF, (1982-10-09),34,,Varzim,Portugal,2006-06-09
Rui Marques,Angola,15,DF, (1977-09-03),1,,Leeds United[35],England,2006-06-09
Flávio,Angola,16,FW, (1979-12-20),46,,Al Ahly,Egypt,2006-06-09
Zé Kalanga,Angola,17,MF, (1983-10-12),23,,Petro Atlético,Angola,2006-06-09
Love,Angola,18,FW, (1979-03-14),35,,ASA,Angola,2006-06-09
Titi Buengo,Angola,19,FW, (1980-02-11),2,,Clermont,France,2006-06-09
Locó,Angola,20,DF, (1984-12-25),11,,Primeiro Agosto,Angola,2006-06-09
Delgado,Angola,21,DF, (1979-11-01),17,,Petro Atlético,Angola,2006-06-09
Mário Hipólito,Angola,22,GK, (1985-06-01),1,,Interclube,Angola,2006-06-09
Marco Abreu,Angola,23,DF, (1974-12-08),3,,Portimonense,Portugal,2006-06-09
