Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Stipe Pletikosa,Croatia,1,GK, (1979-01-08),50,,Shakhtar Donetsk[64],Ukraine,2006-06-09
Darijo Srna,Croatia,2,MF, (1982-05-01),36,,Shakhtar Donetsk,Ukraine,2006-06-09
Josip Šimunić,Croatia,3,DF, (1978-02-18),42,,Hertha BSC,Germany,2006-06-09
Robert Kovač,Croatia,4,DF, (1974-04-06),56,,Juventus,Italy,2006-06-09
Igor Tudor,Croatia,5,MF, (1978-04-16),52,,Juventus[65],Italy,2006-06-09
Jurica Vranješ,Croatia,6,MF, (1980-01-31),24,,Werder Bremen,Germany,2006-06-09
Dario Šimić,Croatia,7,DF, (1975-11-12),80,,Milan,Italy,2006-06-09
Marko Babić,Croatia,8,MF, (1981-01-28),33,,Bayer Leverkusen,Germany,2006-06-09
Dado Pršo,Croatia,9,FW, (1974-11-05),29,,Rangers,Scotland,2006-06-09
Niko Kovač (c),Croatia,10,MF, (1971-10-15),58,,Hertha BSC[66],Germany,2006-06-09
Mario Tokić,Croatia,11,DF, (1975-06-23),28,,Austria Wien,Austria,2006-06-09
Joey Didulica,Croatia,12,GK, (1977-10-14),4,,Austria Wien,Austria,2006-06-09
Stjepan Tomas,Croatia,13,DF, (1976-03-06),48,,Galatasaray,Turkey,2006-06-09
Luka Modrić,Croatia,14,MF, (1985-09-09),5,,Dinamo Zagreb,Croatia,2006-06-09
Ivan Leko,Croatia,15,MF, (1978-02-07),13,,Club Brugge,Belgium,2006-06-09
Jerko Leko,Croatia,16,MF, (1980-04-09),36,,Dynamo Kyiv[67],Ukraine,2006-06-09
Ivan Klasnić,Croatia,17,FW, (1980-01-29),20,,Werder Bremen,Germany,2006-06-09
Ivica Olić,Croatia,18,FW, (1979-09-14),36,,CSKA Moscow,Russia,2006-06-09
Niko Kranjčar,Croatia,19,MF, (1984-08-13),21,,Hajduk Split,Croatia,2006-06-09
Anthony Šerić,Croatia,20,DF, (1979-01-15),14,,Panathinaikos,Greece,2006-06-09
Boško Balaban,Croatia,21,FW, (1978-10-15),27,,Club Brugge,Belgium,2006-06-09
Ivan Bošnjak,Croatia,22,FW, (1979-02-06),13,,Dinamo Zagreb[68],Croatia,2006-06-09
Tomislav Butina,Croatia,23,GK, (1974-03-30),28,,Club Brugge,Belgium,2006-06-09
