Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Petr Čech,Czech Republic,1,GK, (1982-05-20),41,,Chelsea,England,2006-06-09
Zdeněk Grygera,Czech Republic,2,DF, (1980-05-14),41,,Ajax,Netherlands,2006-06-09
Pavel Mareš,Czech Republic,3,DF, (1976-01-18),10,,Zenit Saint Petersburg,Russia,2006-06-09
Tomáš Galásek (c),Czech Republic,4,MF, (1973-01-15),49,,Ajax[46],Netherlands,2006-06-09
Radoslav Kováč,Czech Republic,5,DF, (1979-11-11),6,,Spartak Moscow,Russia,2006-06-09
Marek Jankulovski,Czech Republic,6,DF, (1977-05-09),48,,Milan,Italy,2006-06-09
Libor Sionko,Czech Republic,7,MF, (1977-02-01),17,,Austria Wien[47],Austria,2006-06-09
Karel Poborský,Czech Republic,8,MF, (1972-03-30),115,,Dynamo České Budějovice,Czech Republic,2006-06-09
Jan Koller,Czech Republic,9,FW, (1973-03-30),68,,Borussia Dortmund[48],Germany,2006-06-09
Tomáš Rosický,Czech Republic,10,MF, (1980-10-04),54,,Borussia Dortmund[49],Germany,2006-06-09
Pavel Nedvěd,Czech Republic,11,MF, (1972-08-30),87,,Juventus,Italy,2006-06-09
Vratislav Lokvenc,Czech Republic,12,FW, (1973-09-27),72,,Red Bull Salzburg,Austria,2006-06-09
Martin Jiránek,Czech Republic,13,DF, (1979-05-25),24,,Spartak Moscow,Russia,2006-06-09
David Jarolím,Czech Republic,14,MF, (1979-05-17),3,,Hamburger SV,Germany,2006-06-09
Milan Baroš,Czech Republic,15,FW, (1981-10-28),49,,Aston Villa,England,2006-06-09
Jaromír Blažek,Czech Republic,16,GK, (1972-12-29),11,,Sparta Prague,Czech Republic,2006-06-09
Jiří Štajner,Czech Republic,17,FW, (1976-05-27),21,,Hannover 96,Germany,2006-06-09
Marek Heinz,Czech Republic,18,FW, (1977-08-04),28,,Galatasaray,Turkey,2006-06-09
Jan Polák,Czech Republic,19,MF, (1981-03-14),18,,1. FC Nürnberg,Germany,2006-06-09
Jaroslav Plašil,Czech Republic,20,MF, (1982-01-05),14,,Monaco,France,2006-06-09
Tomáš Ujfaluši,Czech Republic,21,DF, (1978-03-24),48,,Fiorentina,Italy,2006-06-09
David Rozehnal,Czech Republic,22,DF, (1980-07-05),22,,Paris Saint-Germain,France,2006-06-09
Antonín Kinský,Czech Republic,23,GK, (1975-05-31),5,,Saturn Ramenskoye,Russia,2006-06-09
