Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Sammy Adjei,Ghana,1,GK, (1980-09-01),31,,Ashdod,Israel
Hans Sarpei,Ghana,2,MF, (1976-06-28),7,,VfL Wolfsburg,Germany
Asamoah Gyan,Ghana,3,FW, (1985-11-22),13,,Udinese[50],Italy
Samuel Kuffour,Ghana,4,DF, (1976-09-03),58,,Roma,Italy
John Mensah,Ghana,5,DF, (1982-11-29),33,,Rennes,France
Emmanuel Pappoe,Ghana,6,DF, (1981-03-03),27,,Hapoel Kfar Saba,Israel
Illiasu Shilla,Ghana,7,DF, (1982-10-26),2,,Asante Kotoko,Ghana
Michael Essien,Ghana,8,MF, (1982-12-03),17,,Chelsea,England
Derek Boateng,Ghana,9,MF, (1983-05-02),11,,AIK,Sweden
Stephen Appiah (c),Ghana,10,MF, (1980-12-24),42,,Fenerbahçe,Turkey
Sulley Muntari,Ghana,11,MF, (1984-08-27),16,,Udinese,Italy
Alex Tachie-Mensah,Ghana,12,FW, (1977-02-15),5,,St. Gallen,Switzerland
Habib Mohamed,Ghana,13,DF, (1983-12-10),1,,King Faisal Babes,Ghana
Matthew Amoah,Ghana,14,FW, (1980-10-24),16,,Borussia Dortmund,Germany
John Paintsil,Ghana,15,MF, (1981-06-15),21,,Hapoel Tel Aviv,Israel
George Owu,Ghana,16,GK, (1982-06-17),6,,Ashanti Gold,Ghana
Daniel Quaye,Ghana,17,DF, (1980-12-25),7,,Hearts of Oak,Ghana
Eric Addo,Ghana,18,DF, (1978-11-12),6,,PSV Eindhoven,Netherlands
Razak Pimpong,Ghana,19,FW, (1982-12-30),4,,Copenhagen,Denmark
Otto Addo,Ghana,20,FW, (1975-06-09),13,,Mainz 05,Germany
Issah Ahmed,Ghana,21,DF, (1982-05-24),10,,Randers,Denmark
Richard Kingson,Ghana,22,GK, (1978-06-13),33,,Ankaraspor,Turkey
Haminu Draman,Ghana,23,MF, (1986-04-01),7,,Red Star Belgrade[51],Serbia
