Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Jean-Jacques Tizié,Ivory Coast,1,GK, (1972-09-07),24,,Espérance de Tunis,Tunisia,2006-06-09
Kanga Akalé,Ivory Coast,2,MF, (1981-03-07),22,,Auxerre,France,2006-06-09
Arthur Boka,Ivory Coast,3,DF, (1983-04-02),23,,Strasbourg,France,2006-06-09
Kolo Touré,Ivory Coast,4,DF, (1981-03-19),42,,Arsenal,England,2006-06-09
Didier Zokora,Ivory Coast,5,MF, (1980-12-14),38,,Saint-Étienne,France,2006-06-09
Blaise Kouassi,Ivory Coast,6,DF, (1975-02-02),36,,Troyes,France,2006-06-09
Emerse Faé,Ivory Coast,7,MF, (1984-01-24),14,,Nantes,France,2006-06-09
Bonaventure Kalou,Ivory Coast,8,FW, (1978-01-12),49,,Paris Saint-Germain,France,2006-06-09
Arouna Koné,Ivory Coast,9,FW, (1983-11-11),17,,PSV Eindhoven,Netherlands,2006-06-09
Gilles Yapi Yapo,Ivory Coast,10,MF, (1982-01-13),26,,Young Boys,Switzerland,2006-06-09
Didier Drogba (c),Ivory Coast,11,FW, (1978-03-11),32,,Chelsea,England,2006-06-09
Abdoulaye Méïté,Ivory Coast,12,DF, (1980-10-06),18,,Marseille,France,2006-06-09
Marco Zoro,Ivory Coast,13,DF, (1983-12-27),13,,Messina,Italy,2006-06-09
Bakari Koné,Ivory Coast,14,FW, (1981-09-17),16,,Nice,France,2006-06-09
Aruna Dindane,Ivory Coast,15,FW, (1980-11-26),34,,Lens,France,2006-06-09
Gérard Gnanhouan,Ivory Coast,16,GK, (1979-02-12),6,,Montpellier,France,2006-06-09
Cyril Domoraud,Ivory Coast,17,DF, (1971-07-22),50,,Créteil,France,2006-06-09
Abdul Kader Keïta,Ivory Coast,18,MF, (1981-08-06),26,,Lille,France,2006-06-09
Yaya Touré,Ivory Coast,19,MF, (1983-03-13),14,,Olympiacos,Greece,2006-06-09
Guy Demel,Ivory Coast,20,DF, (1981-06-13),7,,Hamburger SV,Germany,2006-06-09
Emmanuel Eboué,Ivory Coast,21,DF, (1983-06-04),11,,Arsenal,England,2006-06-09
Romaric,Ivory Coast,22,MF, (1983-06-04),8,,Le Mans,France,2006-06-09
Boubacar Barry,Ivory Coast,23,GK, (1979-12-30),6,,Beveren,Belgium,2006-06-09
