Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Justo Villar,Paraguay,1,GK, (1977-06-30),39,,Newell's Old Boys,Argentina
Jorge Núñez,Paraguay,2,DF, (1978-01-22),15,,Estudiantes,Argentina
Delio Toledo,Paraguay,3,DF, (1976-10-02),30,,Zaragoza,Spain
Carlos Gamarra (c),Paraguay,4,DF, (1971-02-17),106,,Palmeiras,Brazil
Julio César Cáceres,Paraguay,5,DF, (1979-10-05),32,,River Plate,Argentina
Carlos Bonet,Paraguay,6,MF, (1977-10-02),29,,Libertad,Paraguay
Salvador Cabañas,Paraguay,7,FW, (1980-08-05),15,,Jaguares[16],Mexico
Édgar Barreto,Paraguay,8,MF, (1984-07-15),15,,NEC,Netherlands
Roque Santa Cruz,Paraguay,9,FW, (1981-08-16),42,,Bayern Munich,Germany
Roberto Acuña,Paraguay,10,MF, (1972-03-25),93,,Deportivo La Coruña,Spain
Diego Gavilán,Paraguay,11,MF, (1980-03-01),39,,Newell's Old Boys,Argentina
Derlis Gómez,Paraguay,12,GK, (1972-11-02),5,,Sportivo Luqueño,Paraguay
Carlos Paredes,Paraguay,13,MF, (1976-07-16),68,,Reggina[17],Italy
Paulo da Silva,Paraguay,14,DF, (1980-02-01),33,,Toluca,Mexico
Julio César Manzur,Paraguay,15,DF, (1981-01-22),13,,Santos,Brazil
Cristian Riveros,Paraguay,16,MF, (1982-10-16),9,,Libertad,Paraguay
José Montiel,Paraguay,17,MF, (1988-03-19),6,,Olimpia,Paraguay
Nelson Haedo Valdez,Paraguay,18,FW, (1983-11-28),11,,Werder Bremen[18],Germany
Julio dos Santos,Paraguay,19,MF, (1983-05-07),17,,Bayern Munich,Germany
Dante López,Paraguay,20,FW, (1983-08-16),7,,Genoa,Italy
Denis Caniza,Paraguay,21,DF, (1974-08-29),74,,Cruz Azul[19],Mexico
Aldo Bobadilla,Paraguay,22,GK, (1976-04-20),5,,Libertad,Paraguay
Nelson Cuevas,Paraguay,23,FW, (1980-01-10),35,,Pachuca,Mexico
