Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Ricardo,Portugal,1,GK, (1976-02-11),49,,Sporting CP,Portugal
Paulo Ferreira,Portugal,2,DF, (1979-01-18),30,,Chelsea,England
Marco Caneira,Portugal,3,DF, (1979-02-09),14,,Valencia[42],Spain
Ricardo Costa,Portugal,4,DF, (1981-05-16),3,,Porto,Portugal
Fernando Meira,Portugal,5,DF, (1978-06-05),30,,VfB Stuttgart,Germany
Costinha,Portugal,6,MF, (1974-12-01),44,,Dynamo Moscow[43],Russia
Luís Figo (c),Portugal,7,MF, (1972-11-04),120,,Inter Milan,Italy
Petit,Portugal,8,MF, (1976-09-25),36,,Benfica,Portugal
Pauleta,Portugal,9,FW, (1973-04-28),82,,Paris Saint-Germain,France
Hugo Viana,Portugal,10,MF, (1983-01-15),21,,Valencia,Spain
Simão,Portugal,11,FW, (1979-10-31),43,,Benfica,Portugal
Quim,Portugal,12,GK, (1975-11-13),24,,Benfica,Portugal
Miguel,Portugal,13,DF, (1980-01-04),28,,Valencia,Spain
Nuno Valente,Portugal,14,DF, (1974-09-12),23,,Everton,England
Luís Boa Morte,Portugal,15,FW, (1977-08-04),24,,Fulham,England
Ricardo Carvalho,Portugal,16,DF, (1978-05-18),24,,Chelsea,England
Cristiano Ronaldo,Portugal,17,FW, (1985-02-05),32,,Manchester United,England
Maniche,Portugal,18,MF, (1977-11-11),31,,Dynamo Moscow[44],Russia
Tiago,Portugal,19,MF, (1981-05-02),22,,Lyon,France
Deco,Portugal,20,MF, (1977-08-27),35,,Barcelona,Spain
Nuno Gomes,Portugal,21,FW, (1976-07-05),53,,Benfica,Portugal
Paulo Santos,Portugal,22,GK, (1972-12-11),1,,Braga,Portugal
Hélder Postiga,Portugal,23,FW, (1982-08-02),24,,Porto[45],Portugal
