Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ouro-Nimini Tchagnirou,Togo,1,GK, (1977-12-31),9,,Djoliba,Mali,2006-06-09
Daré Nibombé,Togo,2,DF, (1980-06-16),16,,Mons,Belgium,2006-06-09
Jean-Paul Abalo (c),Togo,3,DF, (1975-06-26),65,,APOEL,Cyprus,2006-06-09
Emmanuel Adebayor,Togo,4,FW, (1984-02-26),29,,Arsenal,England,2006-06-09
Massamasso Tchangai,Togo,5,DF, (1978-08-08),34,,Benevento,Italy,2006-06-09
Yao Aziawonou,Togo,6,MF, (1979-11-30),32,,Young Boys,Switzerland,2006-06-09
Moustapha Salifou,Togo,7,FW, (1983-06-01),34,,Brest,France,2006-06-09
Kuami Agboh,Togo,8,MF, (1977-12-28),4,,Beveren,Belgium,2006-06-09
Thomas Dossevi,Togo,9,MF, (1979-03-06),10,,Valenciennes,France,2006-06-09
Chérif Touré Mamam,Togo,10,MF, (1978-01-13),39,,Metz,France,2006-06-09
Robert Malm,Togo,11,FW, (1973-08-21),1,,Brest,France,2006-06-09
Eric Akoto,Togo,12,DF, (1980-07-20),32,,Admira Wacker[79],Austria,2006-06-09
Richmond Forson,Togo,13,DF, (1980-05-23),8,,Poiré,France,2006-06-09
Adékambi Olufadé,Togo,14,MF, (1980-01-07),24,,Al-Siliyah,Qatar,2006-06-09
Alaixys Romao,Togo,15,MF, (1984-01-18),11,,Louhans-Cuiseaux,France,2006-06-09
Kossi Agassa,Togo,16,GK, (1978-07-02),49,,Metz,France,2006-06-09
Mohamed Kader,Togo,17,FW, (1979-04-08),46,,Guingamp,France,2006-06-09
Yao Junior Sènaya,Togo,18,MF, (1984-04-19),16,,YF Juventus,Switzerland,2006-06-09
Ludovic Assemoassa,Togo,19,DF, (1980-09-18),5,,Ciudad de Murcia,Spain,2006-06-09
Affo Erassa,Togo,20,FW, (1983-02-19),6,,Moulins,France,2006-06-09
Franck Atsou,Togo,21,MF, (1978-08-01),13,,Al Hilal[80],Saudi Arabia,2006-06-09
Kodjovi Obilalé,Togo,22,GK, (1984-10-08),0,,Étoile Filante,Togo,2006-06-09
Assimiou Touré,Togo,23,DF, (1988-01-01),1,,Bayer Leverkusen,Germany,2006-06-09
