Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Shaka Hislop,Trinidad and Tobago,1,GK, (1969-02-22),24,,West Ham United[24],England,2006-06-09
Ian Cox,Trinidad and Tobago,2,DF, (1971-03-25),16,,Gillingham,England,2006-06-09
Avery John,Trinidad and Tobago,3,DF, (1975-06-18),57,,New England Revolution,United States,2006-06-09
Marvin Andrews,Trinidad and Tobago,4,DF, (1975-12-22),98,,Rangers,Scotland,2006-06-09
Brent Sancho,Trinidad and Tobago,5,DF, (1977-03-13),40,,Gillingham,England,2006-06-09
Dennis Lawrence,Trinidad and Tobago,6,DF, (1974-08-01),63,,Wrexham[25],Wales,2006-06-09
Chris Birchall,Trinidad and Tobago,7,MF, (1984-05-05),19,,Port Vale,England,2006-06-09
Cyd Gray,Trinidad and Tobago,8,DF, (1976-11-21),39,,San Juan Jabloteh,Trinidad and Tobago,2006-06-09
Aurtis Whitley,Trinidad and Tobago,9,MF, (1977-05-01),24,,San Juan Jabloteh,Trinidad and Tobago,2006-06-09
Russell Latapy,Trinidad and Tobago,10,MF, (1968-08-02),66,,Falkirk,Scotland,2006-06-09
Carlos Edwards,Trinidad and Tobago,11,DF, (1978-10-24),51,,Luton Town,England,2006-06-09
Collin Samuel,Trinidad and Tobago,12,FW, (1981-08-27),18,,Dundee United,Scotland,2006-06-09
Cornell Glen,Trinidad and Tobago,13,FW, (1980-10-21),35,,LA Galaxy,United States,2006-06-09
Stern John,Trinidad and Tobago,14,FW, (1976-10-30),95,,Coventry City,England,2006-06-09
Kenwyne Jones,Trinidad and Tobago,15,FW, (1984-10-05),29,,Southampton,England,2006-06-09
Evans Wise,Trinidad and Tobago,16,MF, (1973-11-23),16,,Waldhof Mannheim,Germany,2006-06-09
David Atiba Charles,Trinidad and Tobago,17,DF, (1977-08-29),19,,W Connection,Trinidad and Tobago,2006-06-09
Densill Theobald,Trinidad and Tobago,18,MF, (1982-06-27),38,,Falkirk,Scotland,2006-06-09
Dwight Yorke (c),Trinidad and Tobago,19,FW, (1971-11-03),54,,Sydney FC,Australia,2006-06-09
Jason Scotland,Trinidad and Tobago,20,FW, (1979-02-18),25,,St. Johnstone,Scotland,2006-06-09
Kelvin Jack,Trinidad and Tobago,21,GK, (1976-04-29),32,,Dundee,Scotland,2006-06-09
Clayton Ince,Trinidad and Tobago,22,GK, (1972-07-12),63,,Coventry City,England,2006-06-09
Anthony Wolfe,Trinidad and Tobago,23,MF, (1983-12-23),4,,San Juan Jabloteh,Trinidad and Tobago,2006-06-09
